,0
0,-1277.0162026343726
1,-1296.2483587525273
2,-1292.3760114910933
3,-1328.3171382208182
4,-1179.6001915413217
5,-1395.8427298420413
6,-1341.8959086111686
7,-1429.7985763045274
8,-1382.3080204372318
9,-1286.1937518679588
10,-1328.4216098371164
11,-1265.1961709769416
12,-1393.3540515679776
13,-1402.2854198330201
14,-1274.4113251097344
15,-1190.0954670646083
16,-1267.7694172021124
17,-1190.7333931111841
18,-1170.1058722368903
19,-1312.4070626362884
20,-1334.0730932203705
21,-1233.2238216392147
22,-1168.4668184906654
23,-1332.3048758715945
24,-1172.4975727464487
25,-1157.835905071178
26,-1497.2799520977196
27,-1417.4351406337428
28,-1367.264122732265
29,-1486.1708564821101
30,-1295.1229057409005
31,-1187.168912389977
32,-1294.4233544162835
33,-1273.3844767690698
34,-1199.3408937764077
35,-1197.031179769473
36,-1177.2961933699048
37,-1274.5349958282052
38,-1207.8020933545044
39,-1351.7163882508894
40,-1139.4430775729113
41,-1326.1384107115057
42,-1334.3060295273062
43,-1305.4644459806027
44,-1362.4135551838413
45,-1313.1329109669043
46,-1282.2087000878832
47,-1350.8878799865504
48,-1287.5633574446447
49,-1342.976876813503
50,-1321.3883158196463
51,-1289.5496135191124
52,-1230.9623063095014
53,-1453.083125170482
54,-1279.589305982623
55,-1279.455408580467
56,-1315.6328976193668
57,-1249.4164380419024
58,-1377.8456865076232
59,-1191.118033437312
60,-1205.8782182045795
61,-1245.946219461926
62,-1220.7567252307747
63,-1179.701546608343
64,-1310.782443907636
65,-1166.4703268992773
66,-1289.4603530289232
67,-1168.9061205390474
68,-1275.7156604287532
69,-1247.6477002975212
70,-1348.437963663059
71,-1183.6569489473236
72,-1218.3112629745024
73,-1338.2479493486082
74,-1152.101029075452
75,-1186.054186700406
76,-1154.3519871375129
77,-1168.1592909764227
78,-1192.3343436183575
79,-1297.27922374641
80,-1212.0728777310692
81,-1271.432272339602
82,-1237.4636789508506
83,-1298.8775480814463
84,-1422.7249317571295
85,-1189.828212553296
86,-1285.365973399394
87,-1234.431698882981
88,-1180.0980283714248
89,-1153.8299791727231
90,-1187.97411188889
91,-1152.91826872914
92,-1378.7982855801406
93,-1170.1878278687545
94,-1239.31725220223
95,-1172.1363144263257
96,-1245.038753106445
97,-1213.008749044721
98,-1291.525359421401
99,-1219.978158125527
100,-1308.1193908095156
101,-1249.9850460806165
102,-1216.7632713050773
103,-1220.9547227558369
104,-1405.901762111374
105,-1173.5354871227619
106,-1283.2798433599703
107,-1242.075311710343
108,-1170.461429854146
109,-1419.266091702791
110,-1405.2993987920734
111,-1511.4215037439526
112,-1268.9892364099135
113,-1389.026094581671
114,-1288.7158549810515
115,-1425.4575494262392
116,-1494.9784715909789
117,-1389.5026675743586
118,-1334.4769038905388
119,-1515.1747868589869
120,-1287.353932153963
121,-1441.5696606813294
122,-1298.3011876183723
123,-1515.384004788295
124,-1424.7689881173808
125,-1247.7105907524576
126,-1423.9107933079504
127,-1472.8959010945598
128,-1258.7282206300326
129,-1279.2118361368418
130,-1471.2273922317877
131,-1225.1305737904704
132,-1350.423990240833
133,-1409.841509498079
134,-1358.5498932930175
135,-1494.371946417785
136,-1300.8561246845106
137,-1399.9564455031016
138,-1518.3499312904376
139,-1387.341114283032
140,-1387.5080523163315
141,-1302.7251813727696
142,-1398.2384138642979
143,-1427.7124611704573
144,-1520.3111944335928
145,-1285.1447128752557
146,-1251.8212294609145
147,-1299.860558348017
148,-1226.8230324538858
149,-1297.6463817843612
150,-1311.9262005390544
151,-1398.8129034484778
152,-1358.647280956406
153,-1420.0704458896519
154,-1277.9454359864246
155,-1435.7785460745788
156,-1402.803919861447
157,-1409.443834888755
158,-1425.2401928831387
159,-1354.3516902928948
160,-1482.831100227305
161,1658.1464130736972
162,-1291.6124645047773
163,-1171.7226738032105
164,-1476.808983694257
165,-1153.5266443555545
166,-1388.8888932326213
167,-1259.1660791951579
168,-1534.324901254034
169,-1349.5370211849809
170,-1539.066184730921
171,-1255.4959032953907
172,-1309.7130911718211
173,-1323.9585421639988
174,-1420.622408136492
175,1658.15236200988
176,-1256.988723807978
177,-1168.256773852893
178,-1508.7231031695144
179,-1226.8573485229726
180,-1151.1303121240499
181,-1403.4969577220631
182,-1166.0881184545779
183,-1264.6940012960058
184,-1331.5642647492145
185,-1330.3540574515287
186,-1354.3499447364734
187,-1432.912098251001
188,-1332.0484281473948
189,-1479.5751048019697
190,-1312.8738610985224
191,-1412.8016201997034
192,-1524.0308311043307
193,-1428.0879669844094
194,-1274.1069453332068
195,-1279.5466122882399
196,-1358.4601872646979
197,-1260.629310441835
198,-1438.6999858115316
199,-1209.6737464234875
200,-1452.6012534191207
201,-1464.734158276402
202,-1199.2938155785102
203,-1476.155231607597
204,-1320.4544636791547
205,-1383.5042965839014
206,-1342.5439137149356
207,-1427.0084830056396
208,-1452.946788486814
209,-1220.4864219653764
210,-1292.9037467976652
211,-1266.9582169994176
212,-1362.058213901908
213,-1243.9645066177284
214,-1267.4356441633597
215,-1336.1131445001317
216,-1265.9788056576363
217,-1212.4843427173457
218,-1221.3513055311084
219,-1178.3182628218153
