,0
0,-870.5649549554249
1,-736.4549875318964
2,-894.9887579142119
3,-432.55922794774705
4,-440.17167220431924
5,-846.2043621863775
6,-846.508901451942
7,-897.0452610291633
8,-462.0618611267809
9,-511.0192691349819
10,-827.0743137595658
11,-411.3886404863055
12,-886.1282815592562
13,-683.4730618632735
14,-459.25524497225405
15,-403.610523871153
16,-532.5160716037159
17,-426.98393584911076
18,-406.8100746733149
19,-892.1524363198224
20,-465.7396188518448
21,-414.1784706192547
22,-416.16108778393226
23,-889.6810116109883
24,1418.620408902706
25,-434.5200700968264
26,-540.6367735310812
27,-893.9584897500026
28,-870.7643998707525
29,-898.5673431508501
30,-777.050632023339
31,-407.4497446069823
32,-682.5465081872137
33,-894.9347990541046
34,-423.6817357151096
35,-436.40655608911226
36,-411.67609996478944
37,-517.9458981766394
38,-419.602509058148
39,-778.0583873484223
40,-404.84117976864167
41,-890.7851490933812
42,-894.8118385717956
43,-893.7608164905458
44,-730.4732553929709
45,-520.5663687067972
46,-890.3820639563756
47,-883.743658251401
48,-785.7690889824856
49,-612.546983082837
50,-693.5452300114521
51,-482.79333580311624
52,-489.92843809845186
53,-895.5034498116697
54,-626.1479107153467
55,-691.153575310834
56,-632.3133279019426
57,-422.65186324772895
58,-419.8929958069288
59,-394.21114177505814
60,-594.2658416769393
61,-681.3328662220314
62,-413.3130378093596
63,-454.0843532192926
64,-539.4708597114541
65,-405.091650997764
66,-600.4902563457775
67,-474.3611952301737
68,-424.6130122761671
69,-414.34266825229014
70,-891.4464347152717
71,-444.41999557857906
72,-400.7345413295173
73,-609.4766776779875
74,-394.28565321779405
75,-429.5149623527395
76,-469.5480953736498
77,-423.10050278480975
78,-476.9355280047517
79,-541.5432245513335
80,-425.80834263949936
81,-409.81911669179755
82,-438.9576043501782
83,-499.8752866482908
84,-891.9561748215714
85,-423.5890665278013
86,-638.3881287965585
87,-428.3598578921954
88,-405.8548439574012
89,-487.92339904679164
90,-598.9615589956898
91,-441.25583780505286
92,-782.7587541307829
93,-411.23367057035335
94,-770.972267823917
95,-416.2474249784602
96,-608.5274610404391
97,-536.0152104547811
98,-771.8854958130581
99,-894.5939003946589
100,-552.7750462014134
101,-413.12162810290994
102,-432.9083439547663
103,-411.29035210577416
104,-651.6628765668207
105,-413.2086057922874
106,-889.2318538317785
107,-458.9840078942996
108,-415.1112380434475
109,-438.0268085737054
110,-789.7147773155356
111,-437.46106672211164
112,-425.8682999088231
113,-571.870925218209
114,-438.2799340400216
115,-820.254425408151
116,-689.9665333653445
117,-696.177250001986
118,-890.159099178435
119,-893.3938301423468
120,-508.30387832600917
121,-484.2408861511846
122,-435.1051910743233
123,-864.1961693022098
124,-746.3695401013842
125,-511.04885087825
126,-871.5269859573615
127,-790.3419313674609
128,-590.849620963913
129,-596.5607999274571
130,-787.2929891233637
131,-419.5930062637711
132,-449.88536884260026
133,-725.2416868256438
134,-536.4254071071665
135,-909.8066201570344
136,-881.6745643801386
137,-595.109858885059
138,-893.9510737959539
139,-894.7269755525209
140,-615.438122234009
141,-848.8091323346968
142,-565.4462188910318
143,-814.7538084841998
144,-774.1253051122769
145,-573.2670474357984
146,-546.2007961532142
147,-450.5609465437504
148,-493.57575554606314
149,-481.2632955289686
150,-526.5594047477641
151,-565.4809995503463
152,-788.1961121122118
153,-891.4025200786838
154,-447.301835004305
155,-895.466763971296
156,-627.3208546769636
157,-565.2978439166645
158,-886.1128529488218
159,-891.187551383309
160,-894.4024518056461
161,-931.0788239780726
162,-810.721816618029
163,-439.97706623798734
164,-786.2638194784765
165,-894.1370732226832
166,-789.3155241998949
167,-898.877784835208
168,-895.9267359807467
169,-804.618995998561
170,-790.3706073216789
