,0
0,-1365.8731672142972
1,-1404.8294450208957
2,-1358.6912374328838
3,-1422.2201533579448
4,-1262.1477237675072
5,-1495.450250576926
6,-1436.2110570112768
7,-1545.6226134464675
8,-1492.4747320735905
9,-1394.9745576952887
10,-1441.8560309965292
11,-1335.4842342147151
12,-1426.5624533651423
13,-1416.7437337190838
14,-1329.7435814269468
15,-1273.763649234347
16,-1364.7366931202532
17,-1269.9233724003548
18,-1251.9187802490267
19,-1423.6404346384295
20,-1444.0345909320006
21,-1292.3814471959522
22,-1241.2979320785498
23,-1411.3908573299998
24,-1112.0464157075626
25,-1235.7301617223354
26,-1596.5831062277712
27,-1471.7202458883494
28,-1470.5259224097556
29,-1608.0661293929625
30,-1406.5219292900126
31,-1277.975071083809
32,-1386.8191844118492
33,-1369.0977670204568
34,-1272.290934402385
35,-1274.352002445252
36,-1269.4204895958246
37,-1388.7510973820092
38,-1307.103367359818
39,-1441.8168831368637
40,-1235.7142932214554
41,-1410.0774627460676
42,-1428.3808294147505
43,-1399.903386247611
44,-1454.0558304037984
45,-1430.9566979672902
46,-1380.5515730997568
47,-1459.7666785805902
48,-1381.0506802784246
49,-1414.3274485858599
50,-1428.190585875494
51,-1381.0468187786048
52,-1305.3333581607205
53,-1531.823438458453
54,-1375.4352186222166
55,-1366.0492151717224
56,-1428.2075981541288
57,-1330.4906763115755
58,-1501.567595480279
59,-1281.4313849644686
60,-1288.2552688113255
61,-1307.9678050834568
62,-1322.8202874438086
63,-1262.6735500797797
64,-1358.9093894632774
65,-1247.453244200689
66,-1360.1631186882453
67,-1280.6439493350651
68,-1377.5188306946256
69,-1341.3727218243077
70,-1407.5153840374146
71,-1273.9678612237792
72,-1308.3308092197822
73,-1401.8832949883065
74,-1236.5242607342525
75,-1272.994166376982
76,-1240.5184204965217
77,-1256.899729618652
78,-1294.016295318421
79,-1387.8136131052381
80,-1292.5222665861395
81,-1367.7685713207054
82,-1349.0422758650766
83,-1375.8864508056834
84,-1429.2466866372915
85,-1283.9391530190164
86,-1343.745731969363
87,-1315.7188853223897
88,-1260.8888731250736
89,-1243.900632771613
90,-1288.6254214256294
91,-1248.5531480388063
92,-1459.2465256864225
93,-1263.4113416258872
94,-1313.8385959809382
95,-1262.618393300224
96,-1321.2080945562952
97,-1276.4421359510332
98,-1329.8037451808098
99,-1275.9682868306752
100,-1378.0764728873335
101,-1322.7868058176941
102,-1278.6727828831135
103,-1278.4082057808766
104,-1427.6315284364898
105,-1266.445199363427
106,-1301.8653603654861
107,-1312.9661355089213
108,-1248.0593377993207
109,-1568.6976540540961
110,-1473.2029009659398
111,-1538.8354443154576
112,-1340.9336745842518
113,-1515.358544814723
114,-1398.0694633071948
115,-1454.1880951858407
116,-1549.9373029095436
117,-1511.3879106272443
118,-1439.2828927837702
119,-1581.4456832054075
120,-1374.1660811579025
121,-1491.8365339282884
122,-1386.0362361909
123,-1562.5240583843963
124,-1498.2109439535045
125,-1367.308678532952
126,-1534.72913532082
127,-1537.5165732011858
128,-1305.5028043724908
129,-1353.8262128100664
130,-1540.688928703738
131,-1329.687710560267
132,-1399.2470416067763
133,-1460.0464185151072
134,-1452.2554375803225
135,-1540.0136661934566
136,-1379.7258151989747
137,-1446.3419754488293
138,-1584.6032603061133
139,-1436.2039915256448
140,-1472.1852865737976
141,-1368.1074898005636
142,-1495.0549891942892
143,-1511.9839471751397
144,-1584.8720605785848
145,-1419.6920353839319
146,-1331.9406076268313
147,-1382.7213504797874
148,-1329.3433747219592
149,-1398.0226689759813
150,-1418.7176669842718
151,-1427.9298449731507
152,-1455.4151835998125
153,-1520.9380504776027
154,-1380.4221834268203
155,-1519.5598732758801
156,-1420.7795786931285
157,-1523.1170717666887
158,-1540.1444692999407
159,-1459.159343007672
160,-1547.5306813046507
161,1646.126707197549
162,-1360.3705454176898
163,-1296.394316553824
164,-1541.8425334119686
165,-1078.041206432287
166,-1456.9650537738169
167,-1141.9314336549444
168,-1635.1781951310652
169,-1411.2678247427627
170,-1610.239320743584
171,-1278.0431454920642
172,-1410.0723778753047
173,-1394.8696005094882
174,-1498.570742938531
175,-1069.0935042064343
176,-1344.1443990784749
177,-1279.4469173019277
178,-1597.6410085875032
179,-1310.65552900363
180,-1079.6040581821505
181,-1420.9757206704594
182,-1266.6543129760503
183,-1344.1688769105017
184,-1442.3524606017743
185,-1375.2076876992187
186,-1402.7075435350052
187,-1514.0861457917408
188,-1389.8788347718596
189,-1530.7913807715445
190,-1425.1152540993924
191,-1476.457537607408
192,-1568.356313379438
193,-1497.8873828709818
194,-1331.5363191809595
195,-1371.275172810424
196,-1384.3405097048505
197,-1225.75988128647
198,-1515.1074427900887
199,-1298.6872950277207
200,-1538.8017034412242
201,-1557.0975930455693
202,-1284.8519885448538
203,-1545.1295226305645
204,-1404.6017962187354
205,-1429.1323995918244
206,-1365.960879228097
207,-1525.8208467366242
208,-1529.0545085958968
