,0
0,-1292.5377206547528
1,-1298.9840452717467
2,-1260.2788245724414
3,-1312.8297363217462
4,-1206.175947190451
5,-1406.4734914566222
6,-1313.6974375127668
7,-1605.3443586864234
8,-1389.1814432974263
9,-1301.7224491123004
10,-1345.7784325905575
11,-1289.8118357568906
12,-1392.020190316716
13,-1583.4811832162093
14,-1266.724501609766
15,-1245.4927816127254
16,-1259.0867700101214
17,-1211.2715150245494
18,-1214.3430453725905
19,-1305.9203948004883
20,-1336.9946661518436
21,-1273.7407863377884
22,-1198.6267528526796
23,-1324.3853030998373
24,-2217.6076864689803
25,-1199.0318630309328
26,-1513.2618828603925
27,-1363.7108457894967
28,-1326.0619836430865
29,-1546.3041725853552
30,-1274.924069220379
31,-1228.1359078748112
32,-1278.7993470810486
33,-1260.3773317242958
34,-1229.753696511571
35,-1234.9030597914384
36,-1224.0700095298703
37,-1292.8844728221973
38,-1256.6778326676472
39,-1319.8124442571923
40,-1194.9772319462645
41,-1306.0580916099789
42,-1306.6928937680632
43,-1282.5230270376107
44,-1312.81765545921
45,-1287.2164242267152
46,-1276.8833025846682
47,-1329.1468625232349
48,-1274.7872314964868
49,-1309.60296062472
50,-1287.5277578046364
51,-1275.61926492172
52,-1254.4867479423137
53,-1444.289652585527
54,-1298.1547561019788
55,-1286.641085527356
56,-1281.968901391803
57,-1257.028241296191
58,-1378.4065929975172
59,-1221.556242940871
60,-1230.3890647246055
61,-1265.1869893854855
62,-1262.7706331333513
63,-1215.6435051626931
64,-1358.984363618481
65,-1207.6405872617572
66,-1315.9730333046796
67,-1205.6666431660967
68,-1292.5792940047518
69,-1292.9291277767766
70,-1368.8836144937582
71,-1230.2088339850038
72,-1241.2442141165047
73,-1358.4241263808283
74,-1191.9996991053308
75,-1233.9396455551534
76,-1202.046208461962
77,-1203.936886915048
78,-1224.6075886641743
79,-1333.1548575725856
80,-1241.479885229575
81,-1293.9001224595336
82,-1274.8459936482318
83,-1348.9858308186595
84,-1402.118921440017
85,-1243.980153210781
86,-1314.9407812124055
87,-1240.8629425372492
88,-1225.9976765858835
89,-1208.8640238303299
90,-1253.1518715110271
91,-1214.770993503455
92,-1346.8555981442178
93,-1223.9593653692168
94,-1286.2321699121526
95,-1228.9644302646016
96,-1250.3174934969184
97,-1248.8444760314874
98,-1277.208896921627
99,-1229.1799135957995
100,-1352.4343457772875
101,-1254.1920589771723
102,-1239.625232727201
103,-1244.287508137489
104,-1397.458655729245
105,-1217.2236224368335
106,-1286.0022943905567
107,-1259.811406118176
108,-1199.673996106445
109,-1603.4196424608433
110,-1389.5886406925454
111,-1535.4315012037553
112,-1265.8538851217097
113,-1595.6463380367932
114,-1340.175976147218
115,-1427.5516937905436
116,-1469.5161882166722
117,-1405.0197355009607
118,-1336.6712073743204
119,-1518.1576087445262
120,-1340.8748459378608
121,-1415.501467662589
122,-1331.143778349843
123,-1491.2582703195517
124,-1419.986688654002
125,-1271.8923696842098
126,-1571.9300314278441
127,-1472.7819173635492
128,-1263.2781973849728
129,-1303.441905805797
130,-1478.82778112913
131,-1256.3247120314209
132,-1373.1903807244253
133,-1385.8422145968862
134,-1357.3998656122026
135,-1483.2935072654643
136,-1334.8843943732609
137,-1407.0197276533627
138,-1536.8238508399818
139,-1383.7775671713268
140,-1410.1031564562816
141,-1339.6375348677502
142,-1389.8469114698069
143,-1434.145790004679
144,-1543.7086054145943
145,-1313.5528637498105
146,-1282.6007921568942
147,-1331.422892517586
148,-1266.1146743781198
149,-1334.650966637314
150,-1336.080184528175
151,-1393.0843260544623
152,-1341.6450941674134
153,-1345.0410217177891
154,-1291.1018257385986
155,-1578.5161884886763
156,-1407.3744465601712
157,-1424.5306089743735
158,-1425.248253591095
159,-1332.9677863296456
160,-1467.261878248843
161,1634.8500892419156
162,-1311.0643376473163
163,-1241.97278393527
164,-1447.8174172312029
165,-2110.7890392470104
166,-1421.8753265608593
167,-1788.5894787250688
168,-1549.230905669095
169,-1383.3335046506313
170,-1565.500656834296
171,-1679.0631677598055
172,-1341.6211273243948
173,-1319.0257686985444
174,-1410.008573120621
175,1634.9014460691742
176,-1276.0628321222207
177,-1229.1864669308495
178,-1515.3945667766402
179,-1232.8230540647833
180,1634.9229582136522
181,-1669.0674338339556
182,-1223.2323420035355
183,-1702.5502737954027
184,-1378.2941158540573
185,-1623.9402762506909
186,-1631.8591276120744
187,-1413.0020878519263
188,-1336.049824039856
189,-1562.2677963781496
190,-1291.9926962497598
191,-1381.278365302223
192,-1553.6410641082305
193,-1427.1663663918434
194,-1267.784187617001
195,-1285.6601967667934
196,-1621.0875666025693
197,-1730.3250875801407
198,-1454.1790526589411
199,-1239.614735870946
200,-1443.7779310784479
201,-1435.9322228017882
202,-1225.394025123846
203,-1582.7695275112485
204,-1311.7692486948613
205,-1603.887904964169
206,-1656.5197259345503
207,-1419.7768557575143
208,-1588.9526257529146
209,-1253.9673713912343
210,-1350.6660004840435
211,-1342.234414458932
212,-1336.3749016954105
213,-1264.9579460266232
214,-1295.2932666616998
215,-1389.828470919376
