,0
0,-294.474460882268
1,-302.0923019635868
2,-302.5902717229204
3,-301.9649208141952
4,-250.70347922308702
5,-325.95212638373124
6,-297.23628090296245
7,324.6928554917188
8,-331.33820368908766
9,-294.0029007330815
10,-317.1658986798768
11,-312.23965256071466
12,-332.7967503153119
13,324.69241232488247
14,-308.3699057563533
15,-259.443595290278
16,-290.778096270908
17,-269.21658816782025
18,-272.7412091850182
19,-293.51348067323744
20,-316.09578411815096
21,-288.3159106921178
22,-250.27184374590368
23,-319.8004272360545
24,324.68830410767373
25,-250.6999287917482
26,324.6924814195467
27,-328.3891510870284
28,-307.2010333984129
29,324.69304423425507
30,-291.7997191841902
31,-257.58379825039907
32,-296.7083638034927
33,-293.6542871682984
34,-268.0514306357151
35,-276.8818113783936
36,-273.9908666430785
37,-298.1122271239047
38,-276.8576512486514
39,-305.82200199327747
40,-238.14402015686025
41,-308.0817738458834
42,-295.9328442231515
43,-302.94103024518574
44,-308.61028066726783
45,-289.90039584833784
46,-288.8708685377768
47,-326.82469658087575
48,-292.0125090809027
49,-302.4403303008869
50,-303.01119507242976
51,-310.2174049953083
52,-309.37719448726017
53,-349.19594782270167
54,-290.9910429532511
55,-296.48354227339064
56,-289.6021563722742
57,-254.47511733922138
58,-332.2887960850406
59,-239.04303334971112
60,-265.00686782316274
61,-314.1355051554149
62,-255.3048604288365
63,-243.80168637567724
64,-311.1917609043774
65,-248.4379943526824
66,-314.7203614400113
67,-245.1904059156487
68,-295.22508797779295
69,-275.06320808390376
70,-327.9724408226486
71,-283.14576074582135
72,-286.32015431892984
73,-323.2981076145526
74,-244.01206519325797
75,-271.9483719424096
76,-246.44425135079192
77,-239.1307742404728
78,-253.76646032722837
79,-301.12177495551117
80,-274.6727739450543
81,-270.698545219842
82,-257.82639191666004
83,-321.86615198656074
84,-340.98829059974344
85,-249.91578642655557
86,-301.45253713990024
87,-273.5079435233648
88,-271.25306088317774
89,-251.09947330063292
90,-277.9531362601441
91,-252.28198701669766
92,-318.3193257074199
93,-240.6987580933135
94,-301.28478891921236
95,-242.41709148633953
96,-297.22874976170124
97,-256.81955879174046
98,-304.6049258179867
99,-307.88413963025175
100,-320.23997818501084
101,-299.78397603926027
102,-304.83350441714083
103,-297.4033671268503
104,-338.7950567634888
105,-250.23868763886506
106,-316.8010766705572
107,-262.7165441946294
108,-245.6328904207347
