,0
0,-0.24565342509010407
1,-0.3304058947675979
2,-0.24157201569899403
3,-0.06746988736986029
4,-0.33823111315862253
5,-0.2701014364741179
6,-0.031564157356254854
7,-0.3427838175962099
8,-0.16238129422520567
9,-0.36803220412614096
10,-0.26429573239567017
11,-0.34949973982974
12,-0.35143845492419135
13,-0.2741333191596776
14,-0.00013108254186480146
15,-0.15346589049818768
16,-0.19523448891424566
17,-0.16024606054625995
18,-0.07782930306842002
19,-0.371589042546837
20,-0.25708008866005005
21,-0.021185024823469647
22,-0.3459463486454448
23,-0.08074904493609653
24,-0.08907734706474972
25,-0.35326487103923204
26,-0.34867177781343445
27,-0.25919381335928915
28,-0.35261751553376114
29,-0.18421832543901945
30,-0.006219627870588379
31,-0.25715038845706395
32,-0.19580388364461235
33,-0.055260852875591654
34,-0.045748877406899126
35,-0.024841080379975813
36,-0.23062975138579875
37,-0.3079054775331565
38,-0.24603485993568977
39,-0.018172278283948122
40,-0.33611162166369546
41,-0.19654416340471995
42,-0.3156013096955307
43,-0.26932706523023026
44,-0.191247822863831
45,-0.17972200437247463
46,-0.33801294239405466
47,-0.17133056402696442
48,-0.2850743306057779
49,-0.1662913491693476
50,-0.27010143567026873
51,-0.3190611638093004
52,-0.3511148920927983
53,-0.2007314225677187
54,-0.30514641737305004
55,-0.1893793089911474
