,0
0,-0.33947155931509226
1,-0.2871244100079898
2,-0.33331095269400046
3,-0.37594170338052374
4,-0.2851797150743942
5,-0.34231072312664945
6,-0.3040389805710998
7,-0.30716573752804643
8,-0.33667011282207215
9,-0.31883400492569197
10,-0.32919343223964614
11,-0.34494645340006586
12,-0.2601753017869737
13,3.044658172950023
14,-0.3421611877607008
15,-0.31096096414754
16,-0.07457402304441997
17,-0.3276197073375687
18,-0.3924653939669736
19,-0.3208667622110742
20,-0.3449374476983459
21,-0.31497950513778644
22,-0.4393749190405731
23,-0.26470091904620446
24,-0.3126933130403961
25,-0.28965657055984356
26,-0.2729928079625243
27,3.0414560941262976
28,-0.29866581864233216
29,-0.022470038765107433
30,-0.2517430134733476
31,-0.32118703221660716
32,-0.28171754024574536
33,-0.28399465048226374
34,-0.2805475850778407
35,3.051616981098848
36,-0.3123434206551972
37,-0.323760820704581
38,-0.31964320954110453
39,-0.4015849319507805
40,-0.27758803343890825
41,-0.02247003878712833
42,-0.37641153424883084
43,-0.38824615795281614
44,-0.36504779050298086
45,-0.3831142246681581
46,-0.4106436947971087
47,-0.26766382623903545
48,-0.33225656175543317
49,-0.375328678018068
50,-0.3750741434618679
51,-0.30897181574837274
