,0
0,-0.10425732162885801
1,-0.10425724039662086
2,-0.10425720215725916
3,-0.10425732619006609
4,-0.10425682279015318
5,-0.10425710784745677
6,-0.10425712511035147
7,-0.1042571575762564
8,-0.10425724529720355
9,-0.10425712537606263
10,-0.10425724109264013
11,-0.10425717421576869
12,-0.10425725387533186
13,-0.1042571135757313
14,-0.10425719764052971
15,-0.10425719425895592
16,-0.10425721324132575
17,-0.10425728384574388
18,-0.10425732313485238
19,-0.10425736508625966
20,-0.10425727671355782
21,-0.10425724506711143
22,-0.10425727977657709
23,-0.10425714433919707
24,-0.10425735114566544
25,-0.10425714259426888
26,-0.10425725342330917
27,-0.10425722919770503
28,-0.10425731700442412
29,-0.10425722208316891
30,-0.10425728178545245
31,-0.10425713051667287
32,-0.1042573012038785
33,-0.10425714773486121
34,-0.10425735998720283
35,-0.10425724741793127
36,-0.10425707628197435
37,-0.10425727698253263
38,-0.10425727987420974
39,-0.10425718433169247
40,-0.10425718660638514
41,-0.10425714004919417
42,-0.10425729194249805
43,-0.10425715215442932
44,-0.10425736785843559
45,-0.10425722858653583
46,-0.10425695148183527
47,-0.10425733386335155
48,-0.10425724354653078
49,-0.10425701830510314
50,-0.10425729385640659
51,-0.10425727416998559
52,-0.10425727594023679
53,-0.10425702450636527
54,-0.1042571579854077
55,-0.10425725411719683
56,-0.1042573852252632
57,-0.10425714249595511
58,-0.10425715537975683
59,-0.10425726547823252
60,-0.10425725238536333
61,-0.10425704604460102
62,-0.10425729527835291
63,-0.10425734133273037
64,-0.10425735241816976
65,-0.10425732101033487
66,-0.10425730425683126
67,-0.10425721296602045
68,-0.10425729889261823
69,-0.10425715568623518
70,-0.1042573770460531
71,-0.10425725656238428
72,-0.10425720724937712
73,-0.10425734820250865
74,-0.10425668960029764
75,-0.10425697613407055
76,-0.10425723324993112
77,-0.1042572287620969
78,-0.10425710275218306
79,-0.10425727088884877
80,-0.10425717299395433
81,-0.10425710228851195
82,-0.1042570869163407
83,-0.10425703986869178
84,-0.10425722635670452
85,-0.10425720369478438
86,-0.10425706574178512
87,-0.10425718900357024
88,-0.10425728894471811
89,-0.10425711112581285
90,-0.10425711306428173
91,-0.10425725055928209
92,9.591663046625374
