,0
0,-0.2714462738844243
1,-0.2784130850849579
2,-0.35724944514425444
3,-0.3800826454989264
4,-0.29880069205997395
5,-0.27492639067455293
6,-0.3946477579841643
7,-0.14433415305926706
8,-0.31888880067938213
9,-0.3546049910346987
10,0.5281935109574684
11,-0.3288376059158818
12,-0.5064182706484005
13,-0.35871061173199775
14,-0.4571398403462614
15,-0.35871056418634967
16,-0.2714461669144861
17,-0.3568268839607758
18,-0.3256765937224394
19,-0.12625715452881087
20,1.385905933512062
21,-0.5617658064750004
22,-0.3132389596456657
23,-0.06040268165813803
24,-0.03617275200948925
25,-0.32577768302366583
26,-0.24903819065210075
27,0.6609590855092837
28,-0.3800824929459402
29,0.3700070861977153
30,-0.18872848160408132
31,-0.5617659110612141
32,-0.17747719556775238
33,-0.33895521636584536
34,1.724065120777271
35,-0.35460495454704655
36,-0.3546048986158663
37,-0.3257776731251734
38,-0.33895560430253946
39,-0.563072038078776
40,-0.04484975191385518
41,-0.5064182130976664
42,-0.34221192845977494
43,-0.16880250788569054
44,0.033395841932583596
45,-0.27821645687551544
46,-0.2084766875440115
47,-0.494992223712215
48,-0.358710513277038
49,-0.3546049000186511
50,-0.5634931693024945
51,-0.5039233256765367
52,-0.12625716077586868
53,-0.2580504072855773
54,-0.5630656949000079
55,-0.35460499253899613
56,-0.3188888006345972
57,-0.4319679233846829
58,-0.503321204212285
59,-0.33853854428957497
60,-0.4852044501119227
61,-0.32577769298443265
62,0.5553494386408269
63,-0.25805042492380625
64,0.5281935114638472
65,-0.2988007235514891
66,-0.3800825988966458
67,-0.3296117833025827
68,-0.27821601016280284
69,-0.3800825808852967
70,-0.03256275358170168
71,-0.3946482547507866
72,0.7782476488441495
73,-0.28679398239182563
74,-0.6072074846637933
75,-0.1443379213457993
76,-0.4571390667818973
77,-0.12909869487111342
78,-0.43748508909793427
79,-0.22451939573234223
80,-0.2904947465003473
81,0.07426912168321359
82,1.7468833777144097
83,0.5508418236690508
84,-0.5005997444756455
85,-0.5005995885256838
86,-0.5033215645148268
87,-0.5039233533016089
88,-0.2867939084892152
89,0.5444016789331133
90,-0.25496841638328055
91,0.5708903214782092
92,2.983696010928398
