,0
0,-0.6170462745285887
1,-0.46640695666846
2,-0.6072710894806017
3,-0.15510416075127703
4,-0.1422933727692009
5,-0.5591822831059311
6,3.0640135522336793
7,-0.6249486822205912
8,-0.2904495123398883
9,-0.55201882369987
10,-0.5322290859442791
11,-0.0801535741316061
12,-0.1594847813690094
13,-0.23748474799313096
14,-0.2242257913788387
15,-0.5881003973391541
16,-0.593296222843514
17,-0.28937128304214044
18,-0.15021179840168294
19,-0.2759740198980226
20,-0.6041652524103716
21,-0.2311613126955443
22,-0.5768470343014017
23,-0.1585859477154616
24,-0.6272606603715285
25,-0.5755355729525733
26,2.787368942498707
27,-0.12451921325247485
28,-0.17355420807988337
29,-0.023990638113107313
30,-0.6148244103667903
31,-0.4329794420935557
32,-0.31768368588506146
33,-0.5108033584534626
34,-0.6287565854329654
35,-0.33843308114519866
36,-0.3740586515389146
37,2.91365703377129
38,-0.5389084102973151
39,-0.049366283676232026
40,-0.030920564557512742
41,-0.28963601095474584
42,-0.4341055149199575
43,-0.5029583560812221
44,-0.609986186361948
45,-0.6226085066932598
46,2.92108513536238
47,0.004330059626498205
48,2.9207576736607543
49,-0.48652983216884343
50,-0.6097366352845647
51,-0.2759597820609473
52,-0.5611096632072174
53,-0.6231190955788638
54,-0.5967722489880216
55,-0.4535866871789556
56,-0.4068109642713498
57,-0.2181363469316867
58,-0.5963217225658873
59,-0.5451797861108917
60,2.9210666657136346
61,-0.04422284671643689
62,-0.23328702589325542
63,-0.6030861806609706
64,-0.569889659130973
65,-0.24132429157297736
66,-0.2342563155725241
67,-0.3041630935745821
68,-0.349057753921965
69,-0.07305133678882218
70,-0.015055325804487787
71,-0.22595051347729903
72,-0.6299320690246341
73,-0.02128486531734797
74,-0.07213879724064365
75,-0.1285363429111469
76,-0.5151332606703883
77,-0.0696019652173107
78,-0.47692561059143196
79,-0.08378512206103636
80,-0.2818849184620674
81,-0.5826259036909304
82,0.039243134519118664
83,-0.12359788831495949
84,-0.17079512014311343
85,-0.5836533977672329
86,-0.10149745353780493
87,-0.1487168603470549
88,-0.24698942739053822
89,-0.09787317630984924
90,-0.0502900830851089
91,-0.18161928539092134
92,-0.16463554899067503
93,-0.27836291577776184
94,-0.35060016634893404
95,2.9203432428347083
96,-0.17409006229590068
97,-0.47201860621586655
98,-0.1609326471792441
99,-0.0202168868798004
100,-0.27823484849333036
101,-0.15458690124335303
102,-0.0119163775835794
103,-0.18202664272584754
104,-0.14418061367452326
105,-0.2530456593725895
106,-0.22560410974692105
107,-0.4071499322792454
