,0
0,-0.29696976736433295
1,-0.2928498948528973
2,-0.3016182019867865
3,-0.2102507863957612
4,-0.2043897395222625
5,-0.37467551256060855
6,4.188631043446419
7,-0.27624921352666515
8,-0.26816848763999496
9,-0.2225418434357347
10,-0.21235360993323185
11,-0.21985164146152467
12,-0.2447944702324112
13,-0.20087480413481124
14,-0.1736457646670057
15,-0.29814352371449804
16,-0.2822949180365506
17,-0.20652432307895902
18,-0.17549881982620355
19,-0.2774142731220541
20,-0.29593315720343527
21,-0.21320026247986457
22,-0.26171243079637035
23,-0.2024109626261563
24,-0.25043899682396004
25,-0.27173542987883675
26,-0.2458369537705523
27,-0.15569225161306918
28,-0.13404888416066724
29,-0.1803026319527284
30,-0.3119428661417271
31,-0.2778431535212772
32,-0.27408714812768886
33,-0.24187818072696113
34,-0.21931794577988417
35,-0.26547831721277426
36,-0.29676314484156646
37,-0.2842197298350833
38,-0.30824302502294765
39,-0.1750984989928567
40,-0.133808654517618
41,-0.24965969229054005
42,-0.20354755914692493
43,-0.22587436128235444
44,-0.2413704856970808
45,-0.34841613368939933
46,-0.28280459896780274
47,-0.1381586853085703
48,-0.3198349052254538
49,-0.2593012316516312
50,-0.2444420175303536
51,-0.2617949957771203
52,-0.28606070448623516
53,-0.322946891898382
54,-0.2695741909511283
55,-0.33317684202750514
