,0
0,1.874500262261697
1,-0.3494407212850032
2,1.8747253244661468
3,-0.2821117149865717
4,-0.31072223804684673
5,-0.5871045781606472
6,1.8750971445182743
7,-0.7037801437009976
8,-0.27197391684975253
9,-0.7123043321519993
10,-0.5669900782752435
11,-0.7223845961432873
12,-0.2631211372859196
13,-0.21972713555188836
14,-0.2487447596778231
15,-0.5863092552057325
16,-0.7222229385518187
17,-0.26133200641372795
18,-0.2544247956578439
19,-0.654887499837585
20,-0.6009455441344537
21,-0.22551970855758632
22,-0.7001017127240153
23,-0.15503613191339435
24,-0.7563947732426043
25,1.8059753629636752
26,-0.7288159550346479
27,-0.1611264840180562
28,-0.22032193537685718
29,-0.19749550894484136
30,1.8065220466090055
31,-0.7322304621171734
32,-0.5335511492502806
33,1.8750935266350253
34,1.8750625805744368
35,-0.5740105604946223
36,-0.5973893186448832
37,1.8750837889648386
38,1.807127398724797
39,-0.24110483753648698
40,-0.17022750059228645
41,-0.7510467421673188
42,-0.749932592389905
43,1.8745003083733571
44,-0.712293405744658
45,1.8750707899500345
46,-0.769727846371834
47,-0.20820310679890608
48,-0.7143591166382213
49,-0.5867911176305396
50,-0.7557455623495711
51,-0.6506777285190662
52,-0.6349795358733975
53,-0.6996701279250144
54,-0.6702315454869318
55,1.8749501308634888
