,0
0,-0.3825046335533269
1,-0.3478006632500115
2,-0.3601819585675633
3,-0.358831556779033
4,-0.374748046287784
5,-0.31152283799579267
6,-0.3215234673413577
7,-0.21770779823198289
8,2.533233933658099
9,-0.23295313890673736
10,-0.3235356208986473
11,-0.3747329599482044
12,-0.4130257824218524
13,-0.2903468052132353
14,-0.3188841971642618
15,-0.35180696971215775
16,-0.31435809988478763
17,-0.31750645744219236
18,-0.2799707668067064
19,-0.298828190583948
20,-0.3543119822860936
21,-0.35744879894198883
22,-0.39304499420700106
23,-0.3207746374462963
24,-0.3030891816179085
25,-0.33673954884632534
26,-0.2483350042260888
27,-0.2722117688289567
28,-0.28465498165935543
29,2.76524445333952
30,-0.31311500269757003
31,-0.281888863320304
32,-0.3110179578317982
33,-0.32089809519689927
34,-0.2958631946499873
35,-0.3220143107728684
36,-0.31762773917540105
37,-0.2329531389067469
38,-0.3385093036522161
39,3.0595089903277084
40,-0.29625044498701114
41,-0.35356089883776665
42,-0.30064443600293805
43,-0.3329546181324054
44,-0.2741975084958391
45,-0.3336511547011307
46,-0.3036512237807409
47,-0.3810237636447914
48,-0.3005585420242971
49,-0.3048715620985691
50,-0.31644529475690736
51,-0.35665901566608643
