,0
0,-0.44188440621132513
1,3.1416751139799675
2,-0.22931034891304303
3,-0.22031447956893493
4,-0.384564833721544
5,-0.3030495331990104
6,-0.17665677847054362
7,-0.04723614997918836
8,3.1451251293665776
9,-0.1993690879500669
10,-0.486485433228154
11,-0.07920393403275229
12,-0.4608525518705899
13,-0.35152766121967266
14,-0.1883719188166254
15,-0.39153269128319174
16,-0.2896512593830811
17,-0.15508734195015608
18,-0.18644678622519772
19,-0.18914585370215897
20,-0.09774329563065558
21,-0.42887799147262623
22,-0.2587360314874912
23,-0.10434965473353121
24,3.1492686205571037
25,-0.20836473866306626
26,-0.4867119591099175
27,-0.23022589571765564
28,-0.3711171221399248
29,-0.301277704243692
30,-0.16180035999784703
31,-0.14886624222185338
32,-0.03577082784088398
33,-0.129147577394735
34,-0.18859155590916618
35,-0.1685648640702594
36,-0.5378940884602205
37,-0.7151492076474248
38,-0.07515974554357181
39,-0.17836116145500464
40,-0.22916434214011192
41,-0.37248648455257405
42,-0.3881773804454926
43,-0.4381410897622182
44,-0.6805905095600996
45,-0.39071193187566405
46,0.04500393259802155
47,-0.6889867920566392
48,-0.5266666339614641
49,-0.4194666965630248
50,-0.5986492587878337
51,-0.2855793216785815
52,-0.649870389177451
53,-0.4464972442589587
54,-0.042790834703415145
55,-0.1622481207535092
56,-0.1307870646659462
57,3.364940209575683
58,0.011740570520308044
59,-0.6445878019974217
60,-0.24283303811844098
61,-0.4003991567239834
62,-0.06522470477255722
63,-0.5698680961146178
64,-0.17416545543376866
65,-0.42803055982114574
66,-0.05896553408654072
67,0.07750858681557031
68,-0.33804370281886276
69,-0.0810088751378634
70,-0.06222541118873177
71,0.022717713299763687
72,-0.08658156510692765
73,3.148356515113084
74,-0.20737830509379226
75,3.152044657298918
76,-0.4293738525127232
77,-0.24075414256663064
78,-0.6173775075492995
79,-0.19517172525134305
80,-0.5972013182474033
81,-0.24039304432903338
82,-0.6214816126671215
83,-0.21327667811855316
84,-0.06642899805281906
85,-0.5485372054205052
86,-0.3417486008682603
87,3.1447979559033468
88,3.3613163199558986
89,-0.3155509910000851
