,input_1,block1_conv1,block1_conv2,block1_pool,block2_conv1,block2_conv2,block2_pool,block3_conv1,block3_conv2,block3_conv3,block3_pool,block4_conv1,block4_conv2,block4_conv3,block4_pool,block5_conv1,block5_conv2,block5_conv3,block5_pool,flatten,fc1,fc2
0,0.05001331406243525,-0.49708978041192253,-0.35174891533524244,-0.39956879881645724,-0.37623690168097507,-0.3369950001171482,-0.35172407792007343,-0.4152156043562354,-0.3570221316781279,-0.4859369040430896,-0.4716199532397283,-0.38632952874917387,-0.4049576530887943,-0.4601052709210297,-0.43076536532420984,-0.3165587439837523,-0.2779025790033098,-0.47795463036119573,-0.28347540698806106,-0.1886852144365384,-0.2842276889116359,-0.39295674880255554
1,-0.4503704380057418,-0.4506245111832952,-0.4134601517347717,-0.41945051192193045,-0.3191506695044233,-0.21292884641583326,-0.23989267859826727,-0.24700220124195701,-0.19480593858763942,-0.22926096769355053,-0.22966821508689633,-0.23646895808162596,-0.23902063812719612,-0.3371019554777289,-0.33095904908083823,-0.2644803853324311,-0.26319054323925223,-0.22786889715593744,-0.25981469698937704,-0.3160225570132013,0.1564815517761745,0.08317430155781619
2,-0.13460493304790044,-0.2448360991069601,-0.2751663035327227,-0.2723777478809001,-0.2952159528169229,-0.3090752381202598,-0.29566246616222247,-0.3434523898544322,-0.29891296970022,-0.38199749655269055,-0.33665068124586106,-0.33796750027762873,-0.32581391291765155,-0.4460637823378411,-0.4243492227112934,-0.3987586178751351,-0.45325742605526875,-0.607878962847479,-0.5994057934287154,-0.5782711038000691,-0.5471061032005127,-0.49289036165839073
3,-0.06118449454742892,-0.0813123236570503,-0.13026251963339705,-0.12960608695861991,-0.11708723159805062,-0.11176930422658389,-0.08024527245091956,-0.09469776284679386,-0.06197530141296295,-0.06907852473234154,-0.10125100908278607,-0.10584836644394226,-0.08525606098344213,-0.09069134520936506,-0.20304956256689366,-0.17137063571318537,-0.17880014296624186,-0.04204211635911222,-0.1646869441432884,-0.17019365543101495,-0.5541011491775656,-0.48692774426577096
4,-0.12389672238026463,-0.19773082553413032,-0.2470723028545851,-0.24127777811043427,-0.24337698265902682,-0.18188981336173504,-0.19688470328819296,-0.23051921393782343,-0.18836061691637118,-0.14298234852374636,-0.1790669691826557,-0.15994670142282483,-0.096392810581834,-0.06525629875305418,-0.1195962509273661,-0.1440861156979398,-0.1106546453874814,0.0019551618272787502,-0.029109009529803363,-0.06559430639537994,-0.6444151867548945,-0.394795648190975
5,-0.22135637196800412,-0.3114763434047329,-0.3236187266028452,-0.30151641558998776,-0.3117778438030201,-0.28876329112670945,-0.28504255333758355,-0.29434750854883945,-0.24783782390610812,-0.24746076860000885,-0.25365661067191436,-0.2640593417644816,-0.20310708811948064,-0.20760765023935956,-0.2585229759757577,-0.325401243283776,-0.3596266153688174,-0.39749738330062684,-0.2896747775802983,-0.3520245455605685,-0.47999370686053144,-0.29101348568189334
6,-0.09129619134157071,-0.2768467487361175,-0.3279741897029602,-0.3073492651387382,-0.31397072253550323,-0.2783004211463701,-0.27798639430121275,-0.29997124879683673,-0.25200606138049825,-0.3081773117662484,-0.2922517654251068,-0.285885091731256,-0.23830291397320805,-0.2931331809306732,-0.3244143250439015,-0.251304443997614,-0.18453093371187015,-0.06311602087302756,-0.06721786100710612,-0.14224893008489667,-0.4764666890921024,-0.3250227072369545
7,-0.022277365855616977,-0.07929005213741272,-0.08985318384082104,-0.09457489528851963,-0.09182048241825787,-0.11660391971827573,-0.06080654952638699,-0.11896272052401276,-0.08264056209119905,-0.06175152328916194,-0.08827456895665678,-0.09691743858365479,-0.05358350158346163,-0.04560942288329616,-0.10753696385327177,-0.12152348682405882,-0.08329266866804785,0.00205512533284311,-0.004951281464723956,-0.061258323181607656,-0.6963724025115153,-0.2884746890994976
8,-0.42618360300570085,-0.6452113484681176,-0.6287414834517402,-0.5936907596569265,-0.5000514007307613,-0.6371149517428796,-0.5462427098307402,-0.5069643387783248,-0.47623562059574837,-0.5363391664594748,-0.5362808811981162,-0.5444878876763648,-0.5338010335072082,-0.5639389284509898,-0.5632860889086015,-0.5530434696316956,-0.5701361428819506,-0.5916979948062632,-0.5786630600277671,-0.5911961945324765,1.1368823927562677,0.6786212169721767
9,-0.13078781505599793,-0.14024070202856326,-0.18067021620800955,-0.22548375809122254,-0.1759609971450005,-0.15347352029601025,-0.11095414497839724,-0.19055191892443307,-0.12204807644847465,-0.09262039422280019,-0.1312982901894594,-0.13917128140599208,-0.10620070946572739,-0.0807330358236216,-0.12452615692305698,-0.11391471609843021,-0.08799969011846384,0.027954135669952532,0.0028990012545525076,-0.0452727033282664,-0.45215719067875626,-0.06071776163006276
