,0
0,-3463.5453326065344
1,-3026.9787048108374
2,-3510.936699780475
3,-3488.6763344904157
4,-2829.4691891614702
5,-2810.7850747604134
6,-2841.524340619185
7,-3003.1757322562644
8,-2807.688088688864
9,-2821.0803004585946
10,-3496.728063501771
11,-3440.2993783060915
12,-2820.339936480442
13,-2918.048846120478
14,-3481.5667661334373
15,-3337.9563369301386
16,-3417.0157716990275
17,-3486.3512503350253
18,-3460.622909070427
19,-3414.598085094646
20,-3460.597331013501
21,-3243.318565774946
22,-3486.3218062524847
23,-3493.393590653551
24,-3512.3318592660726
25,-3061.0492212293248
26,-3500.2175302618366
27,-3505.996254200138
28,-2823.3291121008115
29,-2982.725834123016
30,-3474.0016379249
31,-2866.612026498965
32,-3381.9568049315226
33,-2887.787286788477
34,-3507.0578586729453
35,-3335.759359558585
36,-2827.3561170084895
37,-3210.7190103429775
38,-3498.6881616817986
39,-3496.0528754658876
40,-3508.263559325252
41,-3443.7523559800484
42,-2765.916894526118
43,-2801.6421920536404
44,-2942.26109599518
45,-3468.405261655126
46,-3381.591522215532
47,-2876.263511255222
48,-3364.2698498517534
49,-3169.138481412473
50,-3321.401299902539
51,-3409.700194451841
52,-2990.188779807563
53,-3251.521487409987
54,-3438.0535068831614
55,-3083.688748696982
56,-3032.650045753885
57,-3318.831414255885
58,-3494.771052355451
59,-3456.2684726560374
60,-2908.1383022922346
61,-3364.5896310450744
62,-2870.033750601705
63,-3436.7037398336815
64,-2784.8923507890086
65,-3501.9115012935267
66,-3474.534100630656
67,-3466.363816366408
68,-3339.7677592452183
69,-3443.8539644462307
70,-3492.0768146060204
71,-3409.474049434997
72,-3284.4413258379795
73,-3404.3290259230503
74,-3114.457240230475
75,-2882.652562594507
76,-3361.0105094624787
77,-3377.382301703643
78,-2814.508728324684
79,-3444.061724233472
80,-3441.7704426277523
81,-3313.875001790406
82,-3428.316097497933
83,-2822.4578878309976
84,-3432.3571869395014
85,-3428.3982659106837
86,-3091.6953652875354
87,-3180.2300077233813
88,-2970.617093473068
89,-3181.8829369508185
90,-3402.906180888952
91,-2867.201111454403
92,-2870.940066256645
93,-3227.6530073477843
94,-2971.543151063175
95,-2930.1934833196647
96,-3368.859353591328
97,-3348.3634939655203
98,-3382.0659838025895
99,-3458.848592722729
100,-3371.958506460943
101,-3424.508031864979
102,-3017.549061640175
103,-2842.5732632844374
104,-3462.509287234298
105,-3492.216423391664
106,-3469.1701568855256
107,-3512.092743921208
108,-3429.0807496051552
109,-3454.486795053251
110,-3502.5656358310703
111,-3456.414518390479
112,-3434.5311741822447
113,-3511.66416720828
114,-3472.94893494782
115,-3480.4775623933497
116,-3504.1391781200973
117,-3482.1241250290573
118,-3418.2238679325474
119,-3117.0599750600054
120,-3304.583802368072
121,-2890.126651973991
122,-2762.412069451958
123,-3468.381142048768
124,-3385.1226752736998
125,-3159.6583362516326
126,-3498.497502229239
127,-3429.5493786538773
128,-3367.0700155570303
129,-2837.7031369958263
130,-3413.1756496708786
131,-3421.841097155133
132,-3396.2215829620072
133,-3485.7457199204664
134,-3479.143559821504
135,-3011.126464805063
136,-2799.309926837147
137,-3422.831581953315
138,-2860.1066781842846
139,-2953.336345342341
140,-2944.944237225109
141,-2921.9886167180557
142,-2795.436513538737
143,-2944.533124268196
144,-2770.674372604297
145,-3463.8901956651334
146,-2954.5595416367973
147,-3008.5059851409933
148,-3502.792750933332
149,-3500.5736842283955
150,-3219.15118690131
151,-3373.2626146471735
152,-2763.16068891835
153,-2948.678523108417
154,-3367.577358254851
155,-2909.8025068162206
156,-2822.0617891832194
157,-3448.123383125131
158,-2867.689593820979
159,-3014.4811364929615
160,-3462.908527323399
161,-3475.8067321002563
162,-2816.6068964958317
163,-3011.311312825091
164,-3472.894788732529
165,-3497.910258775077
166,-3431.394561348725
167,-3489.0238928607114
168,-3405.756474416045
169,-3125.2053477637546
170,-3478.7066589295396
171,-2825.0646920871727
172,-3443.337564769802
173,-3355.6132805037805
174,-3473.2810893857054
175,-3167.443217211598
176,-2970.976790889803
177,-3267.9042146915563
178,-3456.6033090030423
179,-3379.9587425027044
180,-3473.9616961912234
181,-3483.2649171282446
182,-3261.3313917950454
183,-3477.073686667097
184,-3445.4539580657693
185,-3389.5841452243603
186,-3349.925646804609
187,-3398.7451131814614
188,-3434.6267728481253
189,-3355.749307829776
190,-3415.503700746277
191,-3189.154905096942
192,-3482.6481557981438
193,-3470.8739717758544
194,-3168.201620961026
195,-3424.439537359246
196,-2866.8500139281564
197,-3391.1322065638183
198,-3412.8877882642296
199,-3212.6628979485577
200,-3395.433132731885
201,-3085.5113189819494
202,-3214.1279025306503
203,-3206.818437173861
204,-3167.5213289858875
205,-3436.354271650366
206,-2974.0408108026513
207,-2812.18018616149
208,-2982.2481894229322
209,-3441.2450967391746
210,-3499.343508173692
211,-3165.548974359471
212,-3024.2540382249463
213,-3370.279133388339
214,-3462.9885785748434
215,-3454.0792722260585
216,-3392.3396184636867
217,-2931.5504896674533
218,-3396.8522696503032
219,-3464.804771446329
220,-3193.7470292796515
221,-3262.190070543628
222,-2945.5639620414154
223,-2956.734837850264
224,-3380.67593018472
225,-3052.741410076008
226,-3436.304949115781
227,-3274.0932113959566
228,-3490.3122371928353
229,-3417.354451272666
230,-2891.2440227252546
231,-3456.498215777082
232,-2857.114064976285
233,-3448.6138999088744
234,-3192.976989545679
235,-3062.150790154509
236,-2825.190856852857
237,-3012.9906202614784
238,-2791.274936622356
239,-3387.3784179237773
240,-3373.2942894515
241,-2808.3760272165496
242,-2950.336232022143
243,-2805.257075702933
244,-2802.385225078592
245,-3349.231515709779
246,-3142.8866745162204
247,-2799.9195555634515
248,-2761.781328500268
249,-3060.0844100882723
250,-2805.547164476466
251,-3463.636466740746
252,-3406.16446221067
253,-3510.6676746686544
254,-3012.7411784822566
255,-2903.7031726788828
256,-2811.369791724419
257,-2822.0119676293907
258,-2914.0965856637954
259,-2780.7330119575045
260,-2979.1089918333996
261,-2759.327759405652
262,-2783.025225605591
263,-2768.2717391425363
264,-2765.693284072887
265,-2773.7318016350664
266,-2759.452527310144
267,-3280.0237787982787
268,-2775.031617337147
269,-2971.2445167206706
270,-2780.351999163107
271,-2781.0345588361133
272,-2784.012362710112
273,-2837.472913069301
274,-2781.129615266364
275,-2751.9884245099597
276,-2764.4027098285405
277,-2786.694628980996
278,-2797.7840080526003
279,-2764.7535116062036
280,-2968.445130629688
281,-2801.7332870172113
282,-2806.2528428165547
283,-2779.0039958504617
284,-2773.0084099410856
285,-2820.7645945195536
286,-2749.121935732457
287,-2771.0797521543564
288,-2770.865227348084
289,-2764.090955507814
290,-2832.1619654668384
291,-2753.5501091095707
292,-2904.6453846460176
