,0
0,-928.925852451415
1,-905.6218386687603
2,-852.3225989531044
3,-655.3623919312224
4,-610.3649997663047
5,-881.3895196586534
6,-608.681890963777
7,-624.2855528451922
8,-709.7230742777169
9,-879.1747297170773
10,-622.6846315290263
11,-959.2989949863326
12,-760.5208091385012
13,-898.6123688947367
14,-595.7417899297891
15,-593.1495074164761
16,-539.2675716739503
17,-900.9306095469459
18,-676.6249913893085
19,-902.8849594336803
20,-629.9194199188682
21,-945.8729359656259
22,-843.1704911960896
23,-878.7947614350048
24,-916.8241181150815
25,-652.9550229956487
26,-890.0214436184833
27,-720.6332183407403
28,-939.5320987544358
29,-596.0038139796497
30,-684.7779779683813
31,-833.3390944593301
32,-865.4486298555755
33,-546.8609203449001
34,-637.6967937859982
35,-939.8395460224756
36,-731.7136470713891
37,-837.0561086502687
38,-723.0523698023956
39,-890.8734110182977
40,-932.0015754138733
41,-871.3592625828328
42,-951.9411859328468
43,-956.8621140665189
44,-676.9135176855731
45,-715.1577647289728
46,-734.838126186831
47,-917.2567060571478
48,-662.3320206899707
49,-874.2507938912654
50,-650.0382717588527
51,-942.7969444826192
52,-636.3969993091816
53,-870.7002161686112
54,-610.4804629261572
55,-784.8516798097596
56,-778.5739093077865
57,-796.3854230899972
58,-781.3454302735167
59,-833.6479837201391
60,-803.1853129555965
61,-895.4364264277276
62,-921.8654992313087
63,-926.2518117901575
64,-659.5100594526473
65,-944.6501438274917
66,-803.9205897799568
67,-615.5855181892803
68,-659.9358107877661
69,-922.1999207847791
70,-750.4430567920127
71,-612.7713419119885
72,-861.4746035978776
73,-812.8288869756252
74,-805.212239323872
75,-549.5954011220314
76,-877.8448680501815
77,-943.1611092285023
78,-930.8043563300732
79,-943.7399571108842
80,-741.8004422083881
81,-675.553178165062
82,-755.6375205334487
83,-824.2936577551591
84,-915.5031600054106
85,-628.4389856087103
86,-588.3239702719163
87,-610.9630350351138
88,-569.1826251949785
89,-633.8742677871815
90,-834.965185053529
91,-962.1033583409524
92,-860.0697092753555
93,-615.5562826865665
94,-642.3914639626691
95,-924.6549045438519
96,-865.224596517465
97,-933.4177159846547
98,-706.3006565473386
99,-660.5854167235201
100,-939.5142547615922
101,-649.1087404888815
102,-632.9507065612603
103,-964.8594709682911
104,-662.660849782894
105,-615.3562063915799
106,-928.0837014839879
107,-926.0927644476395
108,-637.4970520385818
109,-588.3814346565041
110,-721.6076462066443
111,-601.9877651188334
112,-613.1135782302208
113,-785.0595604671068
114,-613.1241237785135
115,-728.3202023927247
116,-592.0773046863173
117,-960.1647885995906
118,-617.5831614212748
119,-643.9190587459843
120,-615.0006800206866
121,-936.268165219456
122,-902.2953932991406
123,-689.051875085368
124,-585.5140705453507
125,-595.1262871242095
126,-590.1496315153929
127,-922.6281978350153
128,-561.5542285592174
129,-725.1988006914816
130,-707.3270947483315
131,-724.9011972034776
132,-759.7303882961161
133,-644.1279660520403
134,-905.5597311435513
135,-620.5042505355062
136,-627.8337047453317
137,-717.2547987644712
138,-939.7654254930092
139,-953.479999564021
140,-863.4090137101496
141,-633.8052127771148
142,-917.261588267965
143,-725.1787280500015
144,-958.8831018318069
145,-871.995449722242
146,-719.9674846120138
147,-624.1785462225698
148,-622.5865694050576
149,-796.3717240234121
150,-587.8128375690538
151,-671.6102677340599
152,-790.3666881761981
153,-955.3539522708749
154,-817.2906218904584
155,-883.9041207372517
156,-674.1496515861736
157,-796.1816373340871
158,-670.6514791847715
159,-831.57611984131
160,-677.5673687030331
161,-717.1247470064452
162,-589.7888097792711
163,-746.5803405992349
164,-900.6681178681686
165,-663.7097492669202
166,-687.5511470095676
167,-791.9212091149157
168,-721.0579716787274
169,-596.566509549016
170,-705.1580593169575
171,-857.4284463107356
172,-851.3057534545795
173,-931.9508787069027
174,-954.3315756210276
175,-629.0119726916248
176,-601.2033829497334
177,-784.8118451494654
178,-811.2437619181451
179,-674.2214371362331
180,-587.9368641825091
181,-614.7301532282062
182,-920.884525322751
183,-696.6146147156539
184,-609.1457757580824
185,-678.3367022059167
186,-820.257569939894
187,-665.1637534408097
188,-778.4426131387045
189,-758.4754660243646
190,-637.3892035692786
191,-939.60538565915
192,-881.0640881221839
193,-864.1671104203107
194,-937.7497535947175
195,-620.2346785070063
196,-586.6023173733245
197,-742.3021381946696
198,-938.4329988707225
199,-599.9901059182746
200,-554.1863699357274
201,-824.5088430269122
202,-868.7042153418477
203,-784.4200869971543
204,-846.9659687303542
205,-631.1395439652707
206,-608.1090807944338
207,-919.8584745353896
208,-881.6027205160287
209,-935.4175359326778
210,-752.637721134353
211,-786.066064390709
212,-935.1545698437576
213,-682.3983035949359
214,-935.4534434252407
215,-859.9486985893632
216,-918.1613716567147
217,-810.5578272352087
218,-909.8319382909951
219,-712.4457434058038
220,-809.3756136422705
221,-932.6213797410677
222,-903.7276597720697
223,-725.3418109333675
224,-631.6290630317427
225,-752.7652312576556
226,-868.1278965687426
227,-784.7588391708421
228,-742.0958716881206
229,-606.6400763469379
230,-997.2345877923974
231,-843.1186742227289
232,-549.8677187874667
233,-801.7917894618209
234,-935.6123035433739
235,-587.6787680114608
236,-760.1088103931656
237,-923.95885335392
238,-827.0300482589882
239,-596.3199449565128
240,-664.7604450781682
241,-895.4424170665756
242,-940.0897619965255
243,-943.9257301531634
244,-936.5110330546602
245,-929.8482239034709
246,-810.0203254152311
247,-797.0169549598729
248,-698.555261870966
249,-836.7285000422124
250,-638.396176732017
251,-939.1983161412772
252,-729.6703622639311
253,-919.484582663569
254,-850.471268024628
255,-775.3039835742293
256,-751.5286339897066
257,-905.4996469688338
258,-959.7855201310258
259,-625.2546408798856
260,-674.2468990069988
261,-621.0809864428843
262,-944.0569154522461
263,-619.0594938112324
264,-648.6505509689495
265,-730.7923666130043
266,-708.7267579596227
267,-785.7480222817582
268,-823.3936333428821
269,-580.6820725892425
270,-805.910728930442
271,-944.0311717945183
272,-598.5589506265345
273,-881.6486291263614
274,-947.4991021376599
275,-878.8674851199548
276,-724.1108186607776
277,-771.4252627088044
278,-825.5882836921303
279,-880.3281171872595
280,-597.8085699625185
281,-672.5311437544561
282,-900.1142278602092
283,-642.1125344425392
284,-825.9473265636339
285,-905.40318351685
286,-887.7804186650649
287,-904.9148166619266
288,-934.6014834904511
289,-602.848164578161
290,-780.3277968272898
291,-699.8606571563967
292,-876.1360785500069
293,-888.8826998135451
294,-891.7025604115233
295,-670.3454651494819
296,-936.1947202957438
297,-646.1472988863177
298,-572.57717487863
299,-610.491974056156
300,-599.7256433819587
301,-780.0129564293986
302,-800.5447507132317
303,-782.1194323098806
304,-648.5072805350228
305,-898.9504852991292
306,-571.9473086518909
307,-570.6114991143336
308,-590.16303413065
309,-608.8738450393032
310,-767.604312194624
311,-931.3902920436119
312,-873.4388280698745
313,-710.0583940538282
314,-875.3238725192524
315,-750.8969646957314
316,-874.2599264957278
317,-887.7181983706328
318,-869.264294967398
319,-936.5184272951219
320,-617.5894418800449
321,-895.573008911264
322,-601.2453462398784
323,-716.6150209545451
324,-604.1684058084248
325,-891.242161875736
326,-703.4735601869332
327,-699.3064264888276
328,-783.0393438182716
329,-832.3915759923218
330,-918.3677647901073
331,-708.0989107739256
332,-627.1681343611674
333,-750.3675731093529
334,-769.6651645078732
335,-736.6450930896888
336,-626.9702844183457
337,-643.4921675800997
338,-608.8306533666993
339,-800.6048542271596
340,-888.8165386225265
341,-754.7582442075202
342,-944.3563404883811
343,-870.6135713513779
344,-949.1726408680049
345,-952.7525768578848
346,-888.3718770839711
347,-611.6073444967584
348,-714.9172763100123
349,-732.095884994551
350,-912.8943557413365
351,-889.937089254422
352,-927.1543949198335
353,-579.1366355902419
354,-819.1788706143616
355,-712.2256890111589
356,-621.8052865931143
357,-827.3222325367051
358,-582.1545773594212
359,-618.9097416452124
360,-659.9430786805196
361,-907.9880800263143
362,-672.2282969174744
363,-922.533779678273
364,-916.9586360382388
365,-801.2459506870521
366,-922.7152353651886
367,-951.8759385760685
368,-745.2703349769961
369,-660.8489349831598
370,-609.2337941367264
371,-598.3034110445984
372,-801.9989298870639
373,-539.6464064416265
374,-783.0604558063864
375,-890.1698542744703
376,-607.9191028761413
377,-601.4507245074394
378,-620.3968693096646
379,-725.6873518915932
380,-949.2483409702228
381,-618.7313501540202
382,-885.0021402851287
383,-899.8178785393729
384,-973.3193678282178
385,-633.4581985912108
386,-920.4262104933
387,-710.9618547930114
388,-686.3290663327016
389,-940.6209426450318
390,-821.6041563447357
391,-949.7836025650017
392,-934.31091468056
393,-622.5524118027058
394,-921.1921316414519
395,-663.363356007626
396,-959.6551417009616
397,-781.1400849774939
398,-653.5463037616208
399,-905.3640586726758
400,-795.0125730910272
401,-968.5328784303292
402,-975.0382860930744
403,-949.6774994582447
404,-671.5617001611284
405,-788.629312456803
406,-852.8320846067418
407,-638.1427556194822
408,-903.4496511225883
409,-830.9122746912959
410,-610.5310372371955
411,-823.2762852747721
412,-757.3569072025107
413,-916.4355942408928
414,-735.5171409865945
415,-901.4378459406288
416,-694.6794133465306
417,-791.4762356588683
418,-785.8455338964743
419,-546.6222340890855
420,-738.6309546108231
421,-672.586735257046
422,-573.112647274894
423,-778.8196835935358
424,-602.1895418231559
425,-601.226309561327
426,-893.5310033255757
427,-651.8572597113839
428,-830.885219712341
429,-944.1670971952194
430,-638.6078688670843
431,-739.1349006574444
432,-823.3210356288264
433,-954.7216021965386
434,-864.2108642427954
435,-654.2529600177149
436,-786.1141680491276
437,-889.5196224647644
438,-962.6725751726606
439,-796.0548383469593
440,-571.9000082811074
441,-848.0327168230383
442,-890.44679225895
443,-877.7518004832164
444,-744.0051036082843
445,-922.228276079715
446,-823.1309590175179
447,-557.8214525249027
448,-864.2902399316811
449,-787.5879882708721
450,-773.5205108524945
451,-946.7303491500552
452,-658.6313147852544
453,-740.5454510996021
454,-885.053150359581
455,-656.4408058840412
456,-639.8185728529356
457,-938.3776751373628
458,-673.9528104025633
459,-682.5657826868965
460,-597.6565061001588
461,-762.6696445065331
462,-838.4130331809893
463,-928.4446695934046
464,-673.7039810958146
465,-616.06189035071
466,-620.8118749642668
467,-778.6423305805607
468,-882.2624973198826
469,-809.9358496636958
470,-715.9123398357071
471,-817.9792939823736
472,-822.3451753016382
473,-685.1993787515955
474,-843.7276994628637
475,-957.5523298584496
476,-630.2157771857806
477,-649.1212192576685
478,-823.3959444135207
479,-665.6484754870417
480,-597.1118224319127
481,-945.6033625679529
482,-786.0911784365409
483,-669.5395178571279
484,-588.1911632634135
485,-736.3713442244539
486,-644.7250112771435
487,-663.8720692022675
488,-632.9846478823497
489,-921.1629394577001
490,-612.3697278856681
491,-689.2050053183941
492,-932.1943349794493
493,-973.9609097566431
494,-873.2663866370224
495,-944.7821717879555
496,-963.8911504181671
497,-636.4591165523689
498,-878.3812720610135
499,-757.9526930606719
