,0
0,-1081.0144697290234
1,-1063.8582300489402
2,-979.7603615896363
3,-811.0513760700633
4,-732.8848454142811
5,-1066.1672934286034
6,-745.7287903308459
7,-790.9085013690683
8,-800.6481819698861
9,-1076.591465612306
10,-777.9347509804546
11,-1094.7699004751175
12,-890.2109469922038
13,-1056.6771107256623
14,-714.02974630683
15,-715.9061632725386
16,-728.7548224983702
17,-1092.5914251828067
18,-856.0166463650357
19,-1055.6525846490204
20,-749.6936648865092
21,-1086.5847607712171
22,-982.6865501861062
23,-1058.779407772275
24,-1072.2365780433547
25,-790.0077230246379
26,-1091.3390543776218
27,-797.9606452953117
28,-1090.9849929580578
29,-719.7831844154263
30,-829.4660553439999
31,-980.450214596374
32,-1075.2836585632049
33,-738.6455417052143
34,-746.0077983382932
35,-1082.9606494908703
36,-853.7466788403794
37,-1037.116270357972
38,-827.2072337578619
39,-1059.893902866253
40,-1077.310935533606
41,-1006.3648886647852
42,-1089.0287194530567
43,-1093.6363604678686
44,-809.8857118496086
45,-790.3313335189982
46,-832.1118152972535
47,-1082.6777489546648
48,-765.6307028488366
49,-1056.2876150190878
50,-781.0844951670672
51,-1083.7965647251287
52,-743.26085180523
53,-1036.2929729745356
54,-758.9802608026189
55,-1024.1095343022735
56,-943.531925278088
57,-948.8708789041038
58,-875.2165097606749
59,-1016.548642978388
60,-909.5510344506756
61,-1071.3534524825186
62,-1049.8853345740113
63,-1085.216270429587
64,-771.5875243022158
65,-1087.3818793089572
66,-944.8618541631963
67,-733.7164434018198
68,-782.7581914741046
69,-1089.6173062018324
70,-929.9332919279382
71,-733.4080647417544
72,-1035.7116772033323
73,-1008.8613155712051
74,-923.7304341379506
75,-725.2326666631923
76,-980.8649456384233
77,-1086.983938422528
78,-1075.7191532419931
79,-1091.732871825438
80,-928.3014342590545
81,-829.3033035108938
82,-840.5183522271575
83,-996.2104362778148
84,-1094.1147465600657
85,-777.8273114161676
86,-754.0136256779479
87,-738.6465680885058
88,-742.6194289091543
89,-788.562309082525
90,-1060.8257588978722
91,-1096.1925752576235
92,-1033.8718515316573
93,-764.6741119715972
94,-791.2778885622572
95,-1093.7696571218169
96,-1088.366650972688
97,-1098.5616123903071
98,-810.8796881437632
99,-751.246259434492
100,-1096.5511172559682
101,-799.1996120681363
102,-781.3193431904624
103,-1092.790484578454
104,-799.0978054771223
105,-745.2543147887103
106,-1092.9258836681379
107,-1080.6393966233709
108,-772.9796502176218
109,-710.706430026135
110,-907.9813213674029
111,-725.2170914962546
112,-727.631568666264
113,-920.8829307128044
114,-745.4989500519583
115,-830.9839495831568
116,-745.093089482298
117,-1094.4468599357324
118,-742.0531499262717
119,-775.9683387959784
120,-742.0176948410679
121,-1070.9007776849223
122,-1067.765875065491
123,-816.2827371334333
124,-709.200237714045
125,-717.1648189263067
126,-716.6169520083788
127,-1083.2915293969795
128,-725.7135293687691
129,-811.2289121271154
130,-841.1663170925991
131,-856.364243021186
132,-872.4996468315395
133,-750.4669025486518
134,-1088.318799753858
135,-747.27141002552
136,-744.0330328432212
137,-821.6782239099255
138,-1094.3968624537565
139,-1092.7831028022167
140,-1044.3660850297824
141,-768.6554977263656
142,-1065.1480763212949
143,-861.6624199493476
144,-1084.3487502268642
145,-1035.8788454667442
146,-810.8132147029262
147,-744.2613825567482
148,-743.5532972453109
149,-990.0028767682808
150,-710.4064468265213
151,-808.1269006505604
152,-987.2922368743957
153,-1092.3397619700675
154,-1055.419340544034
155,-1050.9071217789856
156,-834.9465121763483
157,-948.1641873272647
158,-799.363056548897
159,-977.3770166831273
160,-824.3178531401511
161,-810.5613614449132
162,-722.0338259795037
163,-876.2327776412891
164,-1036.5000830370802
165,-791.2089580065217
166,-773.8648605483868
167,-926.4865215082336
168,-926.5940014881553
169,-716.1588204681593
170,-920.625371751761
171,-972.8983305097966
172,-1033.1902292267137
