,0
0,-1113.667028553518
1,-1034.327424454802
2,-1045.1257440935951
3,-805.0724401995653
4,-771.7811220260041
5,-1195.1055217037042
6,-777.4943271516947
7,-771.4455212642652
8,-841.2193451718962
9,-1120.1867152075267
10,-908.9258178003731
11,-1242.3997256250186
12,-1097.9426775760464
13,-1127.733997799738
14,-831.6192476177307
15,-730.9162010499385
16,-756.7533444471485
17,-1117.6693256389647
18,-926.0621313118552
19,-1122.9175244861578
20,-800.7606674884607
21,-1193.4916830409727
22,-1158.014814668362
23,-1117.4245690041607
24,-1159.8437139992013
25,-769.9394649934779
26,-1113.9511340762579
27,-1028.3395382238052
28,-1121.2543731300111
29,-753.9291047132608
30,-851.8081185464171
31,-1009.9420059299089
32,-1122.8962897597671
33,-772.5934929705237
34,-1088.1495602837003
35,-1140.0776269052044
36,-1103.5071407951161
37,-1153.7548161689797
38,-948.5865472365472
39,1353.245761992702
40,1353.24598229267
41,-1100.8339167027787
42,-1116.1705954683734
43,-1118.5456666638036
44,-1122.7526011810999
45,-818.1545527871556
46,-1107.8944528890822
47,-1114.8271621332156
48,-856.3468343999859
49,-1153.8354738935452
50,-900.6830967100877
51,-1121.1448989852763
52,-753.550612851835
53,-923.3788769169887
54,-751.1251323415321
55,-1092.2123917633314
56,-855.9312673959786
57,-1070.3018210082962
58,-1146.889369372817
59,-1031.3558357920574
60,-993.9520068819368
61,-1204.820146462122
62,-874.8431171991365
63,-1115.1558683850426
64,-792.9926283839584
65,-1129.8253533897891
66,-945.5201557508461
67,-743.643071912182
68,-1153.9289736986832
69,-1218.1834942752557
70,-1004.4809470822892
71,-759.047071465227
72,-919.8951997122485
73,-1040.9084687581496
74,-1078.2117267609829
75,-746.4915391167345
76,-1156.5353877009677
77,-1248.5121322401003
78,-1129.6143169653578
79,-1117.2365116632943
80,-1030.3530245131521
81,-970.2895681363179
82,-1135.1796449115916
83,-1022.7860495234852
84,-1110.3138404964352
85,-779.5399959391148
86,-750.683496741039
87,-826.0366573894676
88,-750.4216936557623
89,-783.1199514374448
90,-1280.8446978493419
91,-1106.6045542909058
92,-1134.4019860479323
93,-757.9386832652963
94,-970.9233397729492
95,-1318.3474660109352
96,-1186.6746077316832
97,-1249.753160499259
98,-988.6325663496982
99,-752.4829764563258
100,-1119.7220047109602
101,-890.874398633594
102,-1105.707842729057
103,-1123.4693413675802
104,-1049.3414069021094
105,-755.4131085128122
106,-1159.5842769995447
107,-1109.048981057044
108,-791.7307573618925
109,-759.9723773806224
110,-957.815666587934
111,-746.1856392605478
112,-808.3227271164509
113,-1202.4720657710848
114,-761.9225668123349
115,-975.9909890477625
116,-764.2272022460165
