,0
0,-490.04273612733215
1,-374.30659088029944
2,-345.97306550467954
3,-432.00514193991523
4,-386.45166281791194
5,-497.0986757534266
6,-317.1329499511963
7,-459.10035184110365
8,-406.18056178062
9,-425.32995384170897
10,-386.2994530260925
11,-505.3573375900916
12,-501.42705206138237
13,-504.3544192937109
14,-383.50437511191143
15,-297.3988950077426
16,-320.8677644048481
17,-408.8353492928204
18,-465.1238193178176
19,-507.46108389143706
20,-403.57631538991774
21,-464.23631914249495
22,-505.0180190683968
23,-578.2591967944152
24,-492.7268833930402
25,-335.39788562385587
26,-431.41778979132897
27,-384.80582756661977
28,-469.89825104754465
29,-355.2624263143847
30,-413.06177665922735
31,-437.6335560518299
32,-517.7972435523466
33,-356.7680001417764
34,-406.543025717657
35,-453.7739031357904
36,-417.25349802777697
37,-505.33605979888586
38,-377.02329187995474
39,-519.6879794439942
40,-509.53307146781117
41,-394.40352432894986
42,-618.3547021454024
43,-528.3165127270224
44,-521.5739036076615
45,-367.8972526348722
46,-430.4123157599516
47,-513.394559186666
48,-406.0799886315449
49,-355.0509169174671
50,-382.27959960087094
51,-507.71108055633556
52,-361.5691730631091
53,-504.64978388153935
54,-300.03164027802774
55,-515.4653968930554
56,-381.07632383587554
57,-426.547467827957
58,-491.5814427375632
59,-419.8339243617769
60,-370.376176721528
61,-475.0373149181722
62,-333.55784049009424
63,-503.650566103914
64,-341.9177053163322
65,-459.8953436015721
66,-424.2848104196874
67,-378.4203082575646
68,-505.28688997692063
69,-388.68106091036327
70,-388.8104009731152
71,-345.6503878734207
72,-379.169655901207
73,-469.9228981944114
74,-390.56334276192774
75,-295.6166444896986
76,-483.6177055063733
77,-468.85684481293885
78,-522.2016469553223
79,-539.4952048934874
80,-389.9851492865455
81,-393.3089614905431
82,-434.37267593806945
83,-420.85372471725555
84,-518.2701692201651
85,-391.82552338039096
86,-340.3655791572137
87,-359.2897963965976
88,-351.86672282011693
89,-500.50436201479073
90,-524.4193433363569
91,-315.1261210007726
92,-454.7722059270331
93,-293.21168117234254
94,-395.1681215262869
95,-476.0792759316595
96,922.0519498485197
97,-475.27935032891565
98,-454.6579111974902
99,-348.84595445485286
100,-508.009259582316
101,-414.8675346021778
102,-452.07607142444067
103,-427.2063841599632
104,-500.1586248962136
105,-327.1035155289369
106,-388.12734335570696
107,-507.3614679858033
108,-396.6793215084146
109,-382.51092918373314
110,-406.68162093745707
111,-379.4334808865648
112,-353.4953301408312
113,-501.4780679837421
114,-284.3195661843975
115,-365.84062581872536
116,-304.4595686580037
117,-504.8404309569718
118,-343.4809641428278
119,-508.9567433571493
120,-316.89447457445993
121,-434.65180229588844
122,-511.0169955029919
123,-469.66745349924054
124,-310.3931352292101
125,-306.7451520646794
126,-352.89384085461455
127,-553.4479520349932
128,-293.9233566897286
129,-316.94223724922256
130,-419.93141093517886
131,-328.3869302280475
132,-419.37079397299243
133,-355.53596051251066
134,-420.15148280061237
135,-333.9822895646516
136,-329.44825756486875
137,-369.13499412023833
138,-445.2805702558293
139,-437.6305503856632
140,-434.7147881069336
141,-412.145165371485
142,-437.6972055958508
143,-421.0805229050421
144,-510.46355563035286
145,-445.444357753833
146,-432.7632454744403
147,-443.34897361688184
148,-338.9508945365566
149,-413.0007516019477
150,-309.5947498345272
151,-401.81798973339505
152,-438.2550375728749
153,-397.93047655345435
154,-423.4282575716432
155,-518.2103182318004
156,-388.3895708644426
157,-546.393645583471
158,-333.9709229761028
159,-411.9724640790512
160,-389.21378743730804
161,-380.90578122643393
162,-405.9251715186241
163,-417.77828595484914
164,-392.1638287122519
165,-407.69884834280936
166,-434.51549981945107
167,-480.9460264735533
168,-442.5233559914736
169,-330.66506788569814
170,-439.6653442058018
171,-389.1413201962055
172,-496.37834874344964
173,-434.254223894595
174,-411.1022518684485
175,-324.3155006872023
176,-352.62238460768464
177,-526.1609567572345
178,-441.00913424058524
179,-496.9277704579663
180,-341.1841010859916
181,-304.7481758061354
182,-632.6189904547559
183,-465.46376267544815
184,-316.54357669784656
185,-366.13792251471193
186,-494.2087593498797
187,-320.1386832150245
188,-382.9192817483726
189,-370.264599459498
190,-377.3707195885169
191,-504.68608893980377
192,-626.5480955574471
193,-444.29880553533627
194,-509.70016969368953
195,-397.58042348299324
196,-341.5537564300065
197,-555.0357074688799
198,-481.5716410616417
199,-345.6843084644495
200,-296.4840860849638
201,-375.3881958347928
202,-444.9855167880051
203,-413.9186178661462
204,-427.90656063150874
205,-320.5390843104473
206,-329.8755804795167
207,-523.2424424829551
208,-447.2867583164869
209,-418.441256174174
210,-501.7860258490344
211,-406.7675705129403
212,-458.9873188222768
213,-413.49853480435087
214,-400.40138573155076
215,-556.721086730618
216,-420.96421753844214
217,-409.8460675787457
218,-396.0244340245808
219,-412.92004095586776
220,-427.9032529940321
221,-524.4788503053328
222,-488.7425374348282
223,-496.2072099198378
224,-322.43976824402637
225,-517.6671564779103
226,-381.0704705087185
227,-390.4875312907643
228,-323.2225380555839
229,-392.98395718525205
230,-420.56565365104734
231,-332.67955177793266
232,-322.99468405524146
233,-444.3797373756861
234,-513.2038325456413
235,-360.30762240917136
236,-418.9256766161494
237,-442.553670621547
238,-388.83848295230007
239,-302.96315457303075
240,-388.1586754507941
241,-417.7919853948456
242,-438.8772635743244
243,-362.49155383385374
244,-382.01886001661774
245,-493.01527850532005
246,-485.90884945838155
247,-419.9187616370645
248,-403.3567384191704
249,-482.09404497917717
250,-391.40978248954735
251,-407.57891286264925
252,-331.61517340107434
253,-512.8375121601587
254,-422.40442640505165
255,-424.1614581536851
256,-431.64280051219697
257,-471.71794739534596
258,-386.0120875407528
259,-380.78579975623734
260,-391.58134192897205
261,-397.9810577459939
262,-454.6617227711643
263,-407.9447335709589
264,-415.5441591383464
265,-432.5111857014284
266,-397.36467061228797
267,-352.48711271459746
268,-431.0840163281168
269,-283.7263703463077
270,-479.20665343869524
271,-481.19297332513355
272,-295.8091715533288
273,-451.5878576714457
274,-556.3214807795428
275,-490.8593099198957
276,-368.7640613007369
277,-396.60615250721827
278,-357.07375894005054
279,-503.2843664145812
280,-402.41453317676314
281,-423.7173059742654
282,-476.2088197580329
283,-320.17655550181735
284,-526.2141038680089
285,-577.6870438083674
286,-461.7890670198284
287,-422.25562650118485
288,-469.296429016235
289,-330.53700815610404
290,-453.38989678414674
291,-382.81117131624967
292,-522.3449096011996
293,-547.5472090522842
294,-420.99860486086453
295,-332.4977074117538
296,-396.38829376900406
297,-386.8849310192385
298,-288.5403993368848
299,-349.7338756898978
300,-391.42837580251415
301,-383.73336153392324
302,-341.95871187816095
303,-417.86698537212465
304,-404.09064866884785
305,-447.6916422612622
306,-308.39585950381
307,-318.44265368721915
308,-359.7424787092986
309,-326.7902720146138
310,-487.02980872683423
311,-326.50952861870945
312,-402.54424995830567
313,-412.9430270379818
314,-420.98281984765043
315,-422.65777811622377
316,-482.49761457106933
317,-501.9844534253091
318,-390.0009882056064
319,-541.6349263513512
320,-370.2755744340353
321,-409.1962569366936
322,-364.2962325032828
323,-388.5718863559562
324,-328.93989893347697
325,-420.1666106394047
326,-378.59443141518346
327,-401.6803134678486
328,-374.26586676636435
329,-387.20843512132626
330,-554.1293208732407
331,-417.32381598726363
332,-349.6188544558543
333,-421.687239412232
334,-411.5060657720046
335,-424.85187470304123
336,-331.9201346932561
337,-375.9231943406123
338,-309.0802371398137
339,-418.09784284784604
340,-483.9293751312959
341,-445.92296084789245
342,-404.8758032378687
343,-511.9434748095196
344,922.0519760293631
345,-545.1621399974797
346,-463.2207520373201
347,-440.0145209005312
348,-419.83221768531087
349,-446.2861998403696
350,-514.8719634948743
351,-487.56093102679165
352,-448.7526652687344
353,-276.6056646285033
354,-339.1290666560917
355,-434.0998078139757
356,-317.25102512721804
357,-521.9547469891945
358,-295.910977727547
359,-311.80923911793616
360,-394.2146576595911
361,-512.1710762376807
362,-426.1335947052872
363,-402.0392535156833
364,-508.7797457288154
365,-527.8189970823848
366,-460.2932095605574
367,-396.8318910095717
368,-414.3556814361639
369,-422.586202139145
370,-345.1671903558198
371,-333.4027640048618
372,-388.5382977191364
373,-331.49317142727523
374,-519.952212372727
375,-483.62316513873645
376,-406.2457991085261
377,-394.0995146784924
378,-406.1424207948833
379,-379.6649375941488
380,-406.492379393781
381,-326.3122250847999
382,-579.4843532904861
383,-394.6141721138659
384,-536.6695769878564
385,-415.7859497043516
386,-439.4614037544658
387,-352.09952771421104
388,-390.1705905099395
389,-396.2120779369176
390,-431.2225109699423
391,-433.4749751299973
392,-468.7557829945608
393,-391.6258652113999
394,-422.05905649384414
395,-434.8800189890483
396,-395.8732107902679
397,-394.4266761021041
398,-499.8891111988819
399,-528.6082944589182
400,-413.771866079345
401,-432.56831614515954
402,-486.863910353881
403,-504.45211444966094
404,-372.638020766883
405,-408.3403308181914
406,-431.31916662755845
407,-468.3485896919967
408,-315.877861652076
409,-439.7190442429218
410,-417.62063212922305
411,-497.8885753650631
412,-492.8347320811587
413,-578.4197141674242
414,-397.67358665602086
415,-488.24694571521013
416,-391.18397549635864
417,-452.41197417519646
418,-406.1490644707813
419,-398.5677649828051
420,-373.9990768139808
421,-381.8342869205069
422,-272.7990635994522
423,-472.95752117392
424,-332.207033259399
425,-318.4532422725031
426,-504.8250557871989
427,-494.92435736332754
428,-443.08435597794903
429,-449.0255105465659
430,-451.0911762856566
431,-398.4839598479278
432,-373.09736386318104
433,-505.52558865428847
434,-542.5394822226269
435,-415.32484753179654
436,-388.83622374414244
437,-497.52796273280643
438,-458.6914705201589
439,-408.82745488406397
440,-323.37593801981836
441,-418.68364238372834
442,-449.9123407449565
443,-536.1845176748817
444,-460.4598827513425
445,-483.3642910187661
446,-555.2609953470903
447,-285.1670292568781
448,-422.3355232387541
449,-380.41550916151766
450,-390.6134822504054
451,-608.3111435883225
