,0
0,-839.7716748712596
1,-799.525903186053
2,-640.7867916371493
3,-455.14507444353205
4,-469.8918336445264
5,-737.3275492811557
6,-431.991791016653
7,-466.33219017205636
8,-546.2084731110573
9,-838.1396212987635
10,-536.0744141150417
11,-840.5707821717597
12,-832.6559398731916
13,-837.1830845967149
14,-507.28432304798713
15,-425.3670211170613
16,-429.27493993110136
17,-836.3439700482559
18,-512.2076864209434
19,-836.4907216598322
20,-462.9676047938956
21,-838.1550337059494
22,-837.461737761389
23,-839.4295727815696
24,-844.1721179735715
25,-444.0748669194901
26,-833.6056349184495
27,-647.591643380288
28,-837.3392202306733
29,-433.080928135738
30,-529.5718922409637
31,-501.8271738669557
32,-840.2161745241872
33,-440.75073050990875
34,-833.8152200974076
35,-834.6085172191539
36,-826.292335365298
37,-839.5167341445324
38,-542.9698931851459
39,-858.9437733890702
40,-845.8398842537447
41,-752.8408981587585
42,-848.0431472666738
43,-843.1405675393104
44,-836.6752562709231
45,-491.0379535947501
46,-836.3366506548567
47,-847.9321183781851
48,-472.370440549181
49,-839.6015535750312
50,-560.1348288317946
51,-836.8632554815931
52,-420.5996883046483
53,-474.5619464386539
54,-424.1563441464952
55,-839.2115291106295
56,-542.3665212692891
57,-705.8802262444675
58,-836.0439918067497
59,-617.055284142377
60,-571.8618471984701
61,-835.8653851098758
62,-480.61259102634256
63,-847.4614592163323
64,-444.9490513120181
65,-838.0254024529333
66,-617.3669866677209
67,-428.1206550717282
68,-838.7389736479428
69,-824.8933009638196
70,-685.1842830475568
71,-463.58627979936625
72,-645.9424241297555
73,-529.3596772844536
74,-701.5371465318125
75,-419.01801027147934
76,-837.4331216991403
77,-836.0629991842749
78,-859.7341080285505
79,-844.1466559462098
80,-623.2605776008352
81,-475.93626321147894
82,-837.9734362229531
83,-610.0415851189874
84,-846.176930652571
85,-471.9304090800945
86,-425.908890048671
87,-441.2864760273658
88,-426.34960507750844
89,-468.64642762607485
90,-837.4188037053577
91,-709.6748414483523
92,-807.6042111095927
93,-429.8929151484682
94,-494.9475420215412
95,-827.2727251435491
96,-836.7863041479691
97,-850.298696079019
98,-534.6447191189669
99,-422.9284176313798
100,-837.606450533339
101,-450.9223567657067
102,-599.2920992234168
103,-839.8453937079612
104,-588.6432146366955
105,-433.31827331550016
106,-837.2489926167478
107,-843.3425959141032
108,-505.12705883126074
109,-472.1530554132031
110,-685.6307212367358
111,-432.73713574228844
112,-471.8051093284961
113,-828.8960774279476
114,-431.8565330106595
115,-552.8140501090751
116,-432.5294105943787
117,-847.267454050245
118,-537.8345119759015
119,-832.098978858124
120,-433.5849049871574
121,-841.3974709286838
122,-696.768695314319
123,-760.6078010208926
124,-421.04971437685816
125,-438.84512907898886
126,-426.64088636267167
127,-837.7233741501583
128,-427.3194522284672
129,-434.47596216292044
130,-502.0327417001501
131,-449.84865953185755
132,-590.9779174412881
133,-418.03603817401944
134,-822.1403983958909
135,-474.6040861944796
136,-479.94314525586833
137,-531.4115711427153
138,-811.1585217534836
139,-837.4237788442043
140,-574.5165762384754
141,-778.3282584753273
142,-836.6372943499169
143,-766.5949430385243
144,-841.9123408357257
145,-796.4781372729167
146,-494.5337223059642
147,-694.8464653595876
148,-465.04755125709806
149,-813.8884780681009
150,-425.03860061250157
151,-484.1659234519128
152,-833.9052078792909
153,-837.9287406833188
154,-831.048332918458
155,-852.6003094798133
156,-620.7245984577642
157,-843.5453048859204
158,-454.63570639729517
159,-475.8243160490347
160,-563.7073835754808
161,-457.4186054195992
162,-453.52947007030787
163,-836.9124101007958
164,-773.087198656608
165,-477.1839877733414
166,-496.15182015584577
167,-836.6877642112546
168,-688.8991168788086
169,-429.65253238434434
170,-689.6021219753936
171,-732.2804546921286
172,-821.9715691432707
173,-839.4572944858402
174,-840.7887462822217
175,-475.6199489438574
176,-477.0012210469741
177,-821.4905058629816
178,-692.3033037425619
179,-649.7585449149083
180,-423.8709876298032
181,-432.9501545707925
182,-839.7763016511559
183,-664.5141350736795
184,-420.05253142268066
185,-432.37443638595164
186,-837.4460095753118
187,-453.45520359987717
188,-676.348940365086
189,-691.1169059483203
190,-450.73413533437565
191,-842.69371320309
192,-838.644068493576
193,-825.341004487684
194,-808.5183347794041
195,-576.2624584290398
196,-425.97957245657506
197,-459.88575585885314
198,-836.9438206557168
199,-436.8081922202899
200,-418.89005018084123
201,-717.603509171991
202,-837.7434300645781
203,-802.2497308650235
204,-780.0743415771556
205,-438.2223517808941
206,-427.1402839336194
207,-847.2062629656175
208,-835.301326220759
209,-673.9206106868161
210,-529.6951565510761
211,-610.634309725436
212,-839.4811552452143
213,-834.8463988249417
214,-836.7107388157727
215,-839.5194122780346
216,-605.8055656287019
217,-698.0432908253299
218,-836.6205734619634
219,-836.0337426877846
220,-700.8517668144102
221,-851.0212874024475
222,-586.4529125141443
223,-635.8763703117257
224,-417.6473104221842
225,-679.6659588293222
226,-702.0387085606387
227,-799.7457855185916
228,-495.0936417734076
229,-479.17152226688506
230,-757.7785871091389
231,-514.4158241182872
232,-436.5626703015649
233,-557.3008671007793
234,-838.7613919896878
235,-423.8760868984767
236,-697.0617806601698
237,-816.2961779327297
238,-695.4414442123131
239,-424.71582753343336
240,-707.6000971888707
241,-838.7621955192216
242,-717.4788965451544
243,-502.1011783746548
244,-791.0532269220707
245,-839.2558850672731
246,-668.3461589381095
247,-696.3653252596841
248,-807.959748526489
249,-839.2947455499528
250,-826.5624724154558
251,-835.1760277062623
252,-482.14236998642787
253,-528.243107661196
254,-696.8475959105205
255,-674.6539442759282
256,-837.1806938236068
257,-838.9350930781463
258,-834.241101758431
259,-458.16582432331285
260,-453.27729685960975
261,-441.057324200208
262,-833.4342799193267
263,-751.0818286692536
264,-546.3911561298556
265,-522.5262490357691
266,-455.21387061676984
267,-701.904993686475
268,-722.1695545686576
269,-422.4454162774902
270,-668.3395306689458
271,-839.682421464077
272,-436.61632790974244
273,-834.7794058870421
274,-818.8902783400355
275,-848.5589020358351
276,-552.7914987067321
277,-542.2575526514224
278,-693.8112926998292
279,-837.2850429196636
280,-616.724328225776
281,-728.2959626131016
282,-837.0176550290558
283,-440.3739492088963
284,-837.3902944728408
285,-845.9997122775476
286,-836.6350336415513
287,-837.9273528370136
288,-843.1529285016551
289,-462.9143337160582
290,-826.6473464754297
291,-531.9695904040975
292,-836.2755788702613
293,-852.4492529073362
294,-838.1076045890619
295,-429.87220656183746
296,-637.2201144585857
297,-469.4122442195568
298,-415.46306585558676
299,-453.75588235853917
300,-481.2738828696961
301,-434.848646140435
302,-493.4161565228387
303,-686.9481688972077
304,-543.5395207275749
305,-820.2874456909797
306,-427.27603140763244
307,-423.5454572085113
308,-425.9400486823439
309,-500.69790069611884
310,-838.261827644953
311,-492.0675297350598
312,-832.7039140310536
313,-643.9351975504845
314,-734.5573712612178
315,-700.0784395588068
316,-840.7910793916678
317,-838.3585073282375
318,-768.1062475035849
319,-838.6201750329828
320,-454.9234479881695
321,-714.9590922812014
322,-421.3344867956328
323,-549.0013096979195
324,-471.3303017003589
325,-840.4132439122237
326,-465.0232182983091
327,-573.3547722401566
328,-724.639668428838
329,-722.9573655423471
330,-847.7380155461743
331,-827.8841063628064
332,-507.0952167264782
333,-551.6412446412857
334,-445.070951277169
335,-525.420409673475
336,-439.4236741933545
337,-471.82326625160573
338,-418.61532950453176
339,-839.2534110615601
340,-800.830144831358
341,-837.9304017329756
342,-722.993666322101
343,-817.2004909181534
344,-853.795932198517
345,-838.6900029172975
346,-842.5414363067656
347,-607.6805454164381
348,-608.8783167502567
349,-838.4601440438511
350,-838.8121465181177
351,-834.7787086192002
352,-842.7950215316444
353,-433.39510069922176
354,-784.1624216466325
355,-452.6768542840914
356,-430.9829007085792
357,-857.6601978291761
358,-431.1802920373583
359,-416.5429547531823
360,-541.1047009655259
361,-843.2430680565725
362,-821.2684663710187
363,-655.1703878497229
364,-842.4390525361262
365,-838.0974071407395
366,-757.5848480684501
367,-800.9600880284428
368,-484.35787267750067
369,-466.91519101879584
370,-448.3493731627457
371,-474.2674965233533
372,-669.8558210081757
