,0
0,-962.787386518294
1,-886.0137736775727
2,-820.8599040386569
3,-703.6031835864508
4,-615.0755229103675
5,-948.6991779983572
6,-631.8717386222345
7,-620.3047589501649
8,-691.438268070551
9,-958.3487612200171
10,-633.9931729239478
11,-957.8904831947351
12,-773.6618900838745
13,-957.8842168927862
14,-622.9248351718245
15,-600.4414623017192
16,-605.2463924999738
17,-920.2979089215274
18,-683.8427735077269
19,-957.6222998110528
20,-634.0778972011369
21,-961.0829565720812
22,-956.2479387134755
23,1113.692986873151
24,-965.6568819362719
25,-621.7372728936618
26,-958.6590461657419
27,-736.5909294687367
28,-959.8088104621249
29,-616.3954033776101
30,-705.1294275779883
31,-857.3252259891516
32,-955.2864143728799
33,-610.6048906536267
34,-645.7839544081525
35,-963.4851774527098
36,-786.7136768439117
37,-944.9179543113488
38,-678.0934993350813
39,-967.2477178855208
40,-963.8757175572895
41,-871.5882695914012
42,-962.4528116000592
43,-959.8299333014071
44,-871.8007767121566
45,-682.7659535568455
46,-861.7240679121528
47,-965.2432017277517
48,-668.9805248703351
49,-971.7640018565179
50,-651.2189457918292
51,-961.9123114402423
52,-605.6874374903509
53,-777.3155463355265
54,-616.5259506995776
55,-863.5568387990426
56,-868.3940731367555
57,-865.7228226636095
58,-937.3865476956892
59,-833.6725293908255
60,-752.379620031783
61,-964.6468546542504
62,-861.7986223824203
63,-964.1787658241673
64,-630.9590383326334
65,-956.9720618949857
66,-721.972547687358
67,-608.3136361604629
68,-777.3390196602205
69,-964.5681085782064
70,-767.9020372457817
71,-616.3273535301965
72,-802.6997260661568
73,-850.1064858780919
74,-833.9774280128931
75,-604.0012050094214
76,-889.551032960118
77,-960.1206221092824
78,-966.1514009239592
79,-963.0324641168783
80,-871.161480913376
81,-678.307349007426
82,-938.7264489063866
83,-864.3299539414755
84,-962.8414147648551
85,-648.3331459163494
86,-608.7654466289193
87,-624.2527354877291
88,-608.7303528112541
89,-632.889501181468
90,-924.8465709255221
91,-962.4086308287149
92,-887.9979823134598
93,-617.1362116276629
94,-682.8111625026124
95,-960.2104199472968
96,-940.2369444837449
97,-950.2873290651767
98,-675.2374420116842
99,-608.940006848012
100,-964.502630301544
101,-659.500261260532
102,-705.168804229491
103,-961.4248093640887
104,-694.7068852959089
105,-619.3248082426638
106,-965.0858884296051
107,-963.3628141340777
108,-644.4668198232221
109,-610.5185510780301
110,-693.7102492670119
111,-612.3339617239661
112,-625.3336130959949
113,-954.4553427931675
114,-615.5288474056599
115,-687.7905848078599
116,-613.8234452126994
117,-960.2088528166947
118,-620.1986882505888
119,-693.0427644294922
120,-612.3438307636407
121,-962.6133099140624
122,-865.8935782050912
123,-683.9461890486782
124,-598.0730525288436
125,-604.7349772479911
126,-596.2985859464461
127,-965.908519002123
128,-606.5953562097873
129,-619.7772000198665
130,-786.5234623970592
131,-691.8566715250345
132,-742.7266542437503
133,-608.4256060433354
134,-963.200795444443
135,-634.3632830350195
136,-624.7892344557009
137,-675.6545179882976
138,-957.4645140267936
139,-963.7212545752764
140,-866.9326011758689
141,-688.9084653330763
142,-962.0873216913345
143,-746.5312639580253
144,-960.7682183827931
145,-970.4653810312938
146,-670.2875416341135
147,-628.4999614288456
148,-619.5224327499338
149,-888.8329501779165
150,-600.7790683964503
151,-670.118970793412
152,-862.9355272724505
153,-959.4722828268335
154,-970.6957114580747
155,-974.955043697761
156,-659.6528559182361
157,-962.073500518835
158,-633.3788647309972
159,-839.5423842908335
160,-763.8011822072607
161,-614.5281578783556
162,-598.1721127633531
163,-870.0981273157407
164,-878.206090628577
165,-665.9676557853484
166,-662.7262301975686
167,-864.142308968043
168,-724.885920637453
169,-605.8358564431413
170,-708.1346689831645
171,-853.4205146670813
172,-875.8596156653823
173,-962.4117530908477
174,-910.088457232678
175,-639.2612822390547
176,-615.5269980523708
177,-864.3068286934086
178,-801.3798648687933
179,-708.0211948976405
180,-594.9890776986068
181,-609.8311333143995
182,-964.7067963846941
183,-750.6152635508581
184,-603.0623694084629
185,-658.5850613342983
186,-949.925593077506
187,-624.0375628541615
188,-893.7386615614537
189,-698.235187277349
190,-616.6838718361814
191,-962.7583798881111
192,-922.4086036800755
193,-888.4070395809262
194,-916.8416040913701
195,-650.778879156537
196,-595.0881838748287
197,-706.7284626864453
198,-962.0888465368313
199,-611.1636811428418
200,-605.3471865675883
201,-808.0493776512428
202,-961.1624699015857
203,-862.1227504423609
204,-865.2715964287844
205,-632.886554232179
206,-606.650215738804
207,-962.7358871575944
208,-953.890998062585
209,-934.1135476228175
210,-794.4133972208783
211,-757.8814600315761
212,-963.299045138188
213,-861.2520629511771
214,-960.5185299196604
215,-959.3862760968904
216,-964.1659203804035
217,-877.3357543084883
218,-955.1803411529614
219,-865.0963005607382
220,-833.0794385285316
221,-964.7289746373019
222,-974.7027165545497
223,-750.2421841930611
224,-607.0736279330195
225,-769.1921126664662
226,-873.7430296756885
227,-932.352024359602
228,-735.8491377017236
229,-618.7850603171644
230,-947.0882637260128
231,-867.6726679048035
232,-609.6665254076177
233,-873.7316122270894
234,-964.5520143460682
235,-609.1751445017037
236,-752.9900217961547
237,-963.8550261667423
238,-820.082734484957
239,-609.0235678784642
240,-708.8872307696229
241,-959.1928989789945
242,-955.5267091855643
243,-870.6825904334897
244,-962.1787385675001
245,-964.9560399688484
246,-752.8403013166893
247,-870.1730520871232
248,-727.4018512966436
249,-940.1157726460655
250,-698.0067012590077
251,-945.3888893913731
252,-716.781146128304
253,-872.9296155253694
254,-855.6563997708428
255,-812.1464484362133
256,-901.7919348057833
257,-966.8488418944177
258,-964.5810288147287
259,-650.771716593471
260,-663.0779950577137
261,-633.8632003850901
262,-921.3311817354664
263,-667.0922385098015
264,-674.7671390519429
265,-663.1074936729601
266,-690.5852608892617
267,-868.1187290322974
268,-865.8598894722385
269,-607.0277422919899
270,-745.2463755597622
271,-960.2649592842582
272,-608.3334121479774
273,-958.2912419080634
274,-957.661963868415
275,-979.1293432414469
276,-728.996960564284
