,0
0,-1216.731666182443
1,-1084.5002068707047
2,-1049.3626662562485
3,-824.9383537967187
4,-796.1687466473659
5,-1208.9244805891665
6,-801.0618805120691
7,-794.5780227545971
8,-854.9806715587943
9,-1216.6063970882226
10,-909.2502328034944
11,-1224.8573194399178
12,-1210.1019111870767
13,-1216.0100197089955
14,-841.0362359213512
15,-765.3524659166513
16,-767.161688426274
17,-1215.8548056045802
18,-915.9916033898953
19,-1214.8733536159302
20,-821.3570495104525
21,-1217.3232627128864
22,-1215.7846133723237
23,-1222.1595827308288
24,-1220.691389714163
25,-791.3728242009267
26,-1218.8345066092525
27,-1027.0084063577588
28,-1217.1642421631298
29,-780.120323135603
30,-865.7613155685353
31,-961.649431629013
32,-1216.1693364162525
33,-781.6974594780772
34,-1213.8121858752886
35,-1219.118976338971
36,-1214.7008675084596
37,-1216.900163460284
38,-945.4986130370622
39,-1226.8205551149872
40,-1223.6637869949086
41,-1100.7484796324713
42,-1221.754274718247
43,-1218.245560560174
44,-1216.9436652528805
45,-833.1720491069468
46,-1218.5880799308552
47,-1222.5745319624266
48,-872.5034533144541
49,-1216.5460938605684
50,-900.8419130780923
51,-1216.403747858772
52,-764.560496307812
53,-920.3383516210602
54,-762.1332723298613
55,-1215.1353188767089
56,-870.8136624976072
57,-1077.8444827182636
58,-1217.6140466443596
59,-1007.3701292987276
60,-970.995732473477
61,-1218.8211297927326
62,-886.2096009255655
63,-1222.280854295084
64,-811.2282913052362
65,-1218.960867048856
66,-931.1976253330937
67,-773.489110659792
68,-1215.9490455753648
69,-1217.1150160101818
70,-966.3649442590681
71,-786.6874347790022
72,-919.3673301980365
73,-1086.6130372191349
74,-1070.416327210165
75,-757.9473193534839
76,-1215.7924231543423
77,-1216.3435748587212
78,-1226.7432491216546
79,-1220.0937198525112
80,-1076.7803880317597
81,-946.7147482975298
82,-1216.990225773196
83,-1034.5073186939946
84,-1219.3276503066074
85,-805.6149848606913
86,-761.2589231822249
87,-832.173860392827
88,-760.6103425776779
89,-808.1417124194876
90,-1218.2994865670037
91,-1196.735044546383
92,-1205.4149731011726
93,-768.5194664686178
94,-938.3489775612258
95,-1251.2922132771628
96,-1220.7034266329388
97,-1233.281627657765
98,-960.0999145360557
99,-763.2914521929348
100,-1218.384285969248
101,-894.7882749302802
102,-1218.2062294500442
103,-1218.3205541177858
104,-1096.3418965039355
105,-782.5747357809038
106,-1221.3391383754793
107,-1220.1573035442004
108,-811.2676974473469
109,-787.910111125249
110,-938.3287918219995
111,-774.7008341493953
112,-826.8019087970841
113,-1214.8076849149172
114,-772.0441288541409
115,-960.7695634714522
116,-774.3021145753305
117,-1217.4526744280938
118,-805.9705841542456
119,-1208.8169483915856
120,-766.461483806112
121,-1218.1087495687475
122,-977.1643039996096
123,-1062.3679318533318
124,-764.5746951372479
125,-777.6570551781452
126,-769.6734274554789
127,-1220.9107586605428
128,-758.3059617873992
129,-777.4639130441725
130,-927.4323427386869
131,-839.3627839751996
132,-893.8453207011966
133,-760.6448851503966
134,-1219.8989273560364
135,-889.179531366624
136,-812.2915939945159
137,-943.0402176420581
138,-1219.2463784222693
139,-1218.094318473188
140,-1017.5480539319034
141,-1213.2306351769314
142,-1216.690249065698
143,-1210.8271751105447
144,-1219.7621477702944
145,-1194.9915597331105
146,-868.4886028252857
147,-842.8980518060591
148,-792.5562187661586
149,-1199.6015433345765
150,-773.3813471000769
151,-833.6981583430792
152,-1216.7868322389852
153,-1217.262205596088
154,-1218.9985078786456
155,-1197.74700317747
156,-897.5948465014558
157,-1225.6718065064888
158,-801.6361951746497
159,-955.9976347060287
160,-922.911991039328
161,-777.4185204103031
162,-784.6202559736345
163,-1215.8047556190088
164,-1115.6931377324684
165,-827.6918664971039
166,-855.0353570892287
167,-1216.7683204100038
168,-981.1187821869879
169,-778.7890067768266
170,-979.2204708362183
171,-1076.6564851960031
172,-1169.9742897556437
173,-1218.2431828865747
174,-1234.759088616184
175,-822.2130213759687
176,-788.7879433886295
177,-1206.625067323016
178,-1057.3600043776994
179,-1202.7527818954052
180,-769.4348334996956
181,-779.0186428751095
182,-1221.1044091840943
183,-1075.2190104868057
184,-764.016648046167
185,-832.7874846961508
186,-1215.3542745948698
187,-776.381580425986
188,-1089.2803678502921
189,-913.0111008082953
190,-800.8136120662672
191,-1220.3482505343372
192,-1216.8102652230912
193,-1204.1638122970785
194,-1177.3934439072805
195,-930.1000348679586
196,-770.334937393936
197,-961.318374832421
198,-1218.1128433642418
199,-769.8764988751765
200,-757.9537939852031
201,-1065.1278303859704
202,-1216.5780390123055
203,-1108.1432351485735
204,-1078.7639060442102
205,-787.6099094823074
206,-777.7291920580319
207,-1220.0159137360213
208,-1216.6895199644293
209,-1081.6322837641555
210,-918.738452806866
211,-1008.79470946138
212,-1216.1210571067006
213,-1218.6753983812373
214,-1219.679178399743
215,-1216.634450449948
216,-1086.4742734951985
217,-966.6535940603578
218,-1216.56637774506
219,-1218.0035546855372
220,-1066.9006189102502
221,-1218.357503485366
222,-1060.547451561702
223,-1103.0658883064198
224,-758.0020011721807
225,-1223.1707744634273
226,-1073.0017999117213
227,-1176.1398938694763
228,-848.6999784381408
229,-792.8990924366767
230,-1103.0089139016802
231,-1069.6416302596153
232,-777.0892839524208
233,-1154.8634570980291
234,-1217.6872557948755
235,-764.4162146022938
236,-1028.5074339521545
237,-1223.7194983945387
238,-1067.4103030306508
239,-762.5498753109653
240,-1219.4171699645185
241,-1217.2030919998374
242,-1203.9431010538958
243,-1063.8975878333097
244,-1220.7083139426938
245,-1218.5719626213531
246,-1041.3844776575258
247,-1117.6751482500888
248,-1019.7473446673739
249,-1216.7331614281832
250,-1220.4824967189277
251,-1217.5910040721608
252,-845.9063779852045
253,-956.2003906880435
254,-1066.4804243772971
255,-941.9783225104275
256,-1215.9289381186372
257,-1219.9770188527282
258,-1220.0507932292635
259,-866.6791472630155
260,-821.9709589171587
261,-818.3777578518649
262,-1216.0849577818856
263,-1017.9078796621674
264,-1078.771489432069
265,-818.0954834749175
266,-823.780028153639
267,-1061.9625132584858
268,-1095.8765848751661
269,-761.1448219827137
270,-1048.0791539896898
271,-1216.6224556020002
272,-760.7107851922876
273,-1218.5424715972467
274,-1223.6047417729455
275,-1217.7314306269088
276,-875.7862036787801
277,-949.286726638067
278,-1172.795088992056
279,-1216.7170689059244
280,-813.4821766888917
281,-1063.8115946812766
282,-1215.6846548865537
283,-774.1818057464892
284,-1216.8898324176596
285,-1208.7563263424665
286,-1216.7175968054614
287,-1215.9291850652698
288,-1221.0330465902282
289,-800.1934651637866
290,-1216.3349825695984
291,-896.3833519160386
292,-1217.4392963119128
293,-1225.6976784621747
294,-1218.0834666211647
295,-771.0227138551226
296,-980.7748359607705
297,-825.8289102095346
298,-750.0590696489635
299,-782.1852294835654
300,-785.6103856122083
301,-791.296543488388
302,-1052.397168606101
303,-1217.2513363663998
304,-847.2563879494114
305,-1217.521221172144
306,-764.0749188043409
307,-757.0395270342624
308,-770.640092279401
309,-808.755176606735
310,-1218.672128837417
311,-935.9543161884629
312,-1219.8894223720915
313,-1100.1335630869323
314,-1177.016042985779
315,-1086.0663086796515
316,-1216.2100138317194
317,-1217.6171023594318
318,-1115.1962066942024
319,-1220.3674651760587
320,-818.178736137299
321,-1093.708802305571
322,-757.9233342248108
323,-929.133491640974
324,-833.5839650336841
325,-1219.4930068250862
326,-857.9316011499451
327,-914.6362025886395
328,-999.5917680166539
329,-1049.3397268875335
330,-1224.3889492530564
331,-1221.512816206531
332,-824.3678835089581
333,-932.4936083824635
334,-913.4328867477817
335,-1161.1510412680357
336,-788.4856060803561
337,-829.2358428674809
338,-753.3468989295368
339,-1216.6002543986483
340,-1218.161195692485
341,-1218.1143574110822
342,-1196.5648792268444
343,-1207.8062718081776
344,-1223.8884687491297
345,-1216.8846922460214
346,-1222.8051643595907
347,-1001.352881556796
348,-909.9604700500554
349,-1216.5158641102935
350,-1220.5647511944276
351,-1215.4907414737097
352,-1219.4264402457966
353,-773.2251973814633
354,-1217.667951239202
355,-831.84370401532
356,-795.7602004683969
357,-1227.9174930425318
358,-771.8145787198613
359,-758.3375004011798
360,-836.3685952165463
361,-1223.186678829983
362,-935.5996717429035
363,-1060.899146823832
364,-1216.447690238589
365,-1216.7447490147879
366,-1151.8986471749843
367,-1199.1887885892454
368,-799.3364803609591
369,-795.4854805254053
370,-799.8449990701237
371,-785.8256273824186
372,-955.5209406258417
373,-758.9936234638153
374,-1216.010883116007
375,-1224.0488965602592
376,-836.0279273044426
377,-830.2566143834019
378,-815.3274530264139
379,-948.0941712533829
380,-1216.9941230770105
381,-767.110473698658
382,-1226.6554710190562
383,-1197.75555229916
384,-1218.1343562921975
385,-876.2853050446188
386,-1217.0276566310113
387,-943.3621229162264
388,-820.9186548277335
389,-1216.8430665627532
390,-1026.696732325332
391,-1217.5037152942791
392,-1217.7687704902655
393,-812.5731773137195
394,-1207.9702126187851
395,-852.1637297631349
396,-1212.0125277091395
397,-1097.9361334164712
398,-1219.5550991474272
399,-1223.798093706056
400,-826.1983689849208
401,-1214.4313806396422
402,-1219.6969370215195
403,-1219.7308730146526
404,-996.1793283614631
405,-1216.6952710594073
406,-1040.6309999493728
407,-934.4410670582728
408,-821.4748772002164
409,-949.7894548256027
410,-894.6863384673547
411,-1217.5172472419106
412,-1135.8884613094544
413,-1218.309433499765
414,-1186.494649995016
415,-1246.5772494613443
416,-863.9367670653254
417,-1064.4797785309368
418,-1216.4360300957176
419,-773.966626416402
420,-1004.0828816063964
421,-887.7575602306476
422,-763.7834799953638
423,-1214.7947787837586
424,-801.6525112486926
425,-757.5328775749135
426,-1220.214160191122
427,-996.4803334507482
428,-1126.9694864199528
429,-1220.548656346912
430,-816.0874999009452
431,-1219.8508526105595
432,-972.4557477171996
433,-1216.256814151624
434,-1215.9111004814486
435,-917.8203603280206
436,-900.4763684881757
437,-1224.0462303251159
438,-1092.733874027707
439,-939.5434979412295
440,-784.6361650065232
441,-1220.3494873464144
442,-1218.4731308975784
443,-1221.828160945151
444,-1216.0682737824998
445,-1154.6411487712433
446,-1216.039762923869
447,-761.4328673176781
448,-1097.9339798985545
449,-1077.75309637627
450,-1218.723335207978
451,-1219.9928431074352
452,-906.3117728641306
453,-911.7153904943714
454,-1235.939152472317
455,-859.1889577517585
456,-916.9548472332739
457,-1218.461668102208
458,-1221.1638014073767
459,-915.8901357484668
460,-769.0537179904393
461,-827.6929723287672
462,-1018.283801927176
463,-1220.0848279553802
464,-833.0705903487038
465,-788.2408974939673
466,-827.1955327086656
467,-922.0510697712206
468,-1202.1874582846253
469,-1067.0121189086383
470,-1044.395225298865
471,-1222.6976108426818
472,-841.8497502215987
473,-876.504821694403
474,-1141.4934374202358
475,-1070.0543524963798
476,-819.5319558068952
477,-849.5781243450436
478,-1196.0727795202615
479,-1221.0021682999795
480,-898.2025166903542
481,-1217.7338041449677
482,-1216.3077442009674
483,-850.6824686438437
484,-779.6568304731802
485,-1045.2595716520095
486,-1047.127303611289
487,-1103.0719332686108
488,-816.4509163393485
489,-1221.458927818381
490,-770.9897960053938
491,-808.1903918316387
492,-1219.2618884772392
493,-1222.069978715196
494,-1068.089990952306
495,-1216.5527167210728
496,-1215.2496008556507
497,-857.1394184000119
498,-1219.3082149756838
499,-1180.6218908877806
