,0
0,-1164.6121147476968
1,-1093.612478549359
2,-801.1020347489866
3,-925.7442916392746
4,-795.9113008819828
5,1192.2307029238434
6,-844.2520780454718
7,-807.6012718594387
8,-921.288232764515
9,-1111.1742254776248
10,-865.4350018601493
11,-1157.377087360467
12,-961.5372215109688
13,-1129.2211220334596
14,-798.6172277594919
15,-815.7792699001025
16,-748.3950189199885
17,-1108.1296859882707
18,-916.4690408850316
19,-1114.105178790397
20,-846.4376836191738
21,-1172.258609267296
22,-1108.5901808321719
23,-1319.917657610522
24,-1206.1606636920774
25,-887.3710241607229
26,-1137.9763001667798
27,-931.5188094823854
28,-1142.483586925014
29,-824.8465328698558
30,-928.3198302386963
31,-1082.647608144287
32,-1131.2036278974101
33,-760.9723884494124
34,-885.9429924271791
35,-1169.3548388370905
36,-945.362275095991
37,-1107.473423455044
38,-853.3465094414705
39,-1223.1483915310391
40,-1155.5558808732067
41,-1090.4660967577795
42,1192.2323477452198
43,1192.2326018759727
44,-953.1560559749951
45,-914.0657372639247
46,-967.2925524979396
47,-1183.5961442791977
48,-909.0247675997869
49,-1316.7649946096415
50,-903.8158326134632
51,-1159.550949618427
52,-771.2372534997362
53,-1107.6444539290235
54,-887.8626810681219
55,-1001.6146241466716
56,-949.0084822872144
57,-872.2068547492356
58,-974.4373871392082
59,-1088.9450202501737
60,-703.8944039630112
61,-1217.1150531093508
62,-1076.6666215309294
63,-1181.5297755618906
64,-880.659565242828
65,-1142.6603453698494
66,-984.6389220193718
67,-852.7871457568642
68,-934.4648963672076
69,-1197.8353695714952
70,-947.6085961508004
71,-794.069084518243
72,-1080.288983928156
73,-1075.1948254327745
74,-980.8822435293455
75,-777.5176293023071
76,-1119.9799892703877
77,-1139.016058680169
78,-1177.5104831175734
79,-1170.2127166866176
80,-980.6566171432535
81,-942.0731017695532
82,-1103.0307024646957
83,-1080.8333162442011
84,1192.2326543004383
85,-903.3571224609177
86,-839.4817266015397
87,-857.6935440178562
88,-814.7478571888112
89,-852.9391904575409
90,-1100.1466441961734
91,1192.2322336657983
92,-1087.0864828188026
93,-905.9397807696761
94,-920.5095531419785
95,-1192.844608862562
96,-1163.0339276414052
97,-1138.7968700436027
98,-954.8904881193484
99,-776.8845268845841
100,-1162.0071206502173
101,-901.316348158725
102,-910.9045944770484
103,-1182.9443131277148
104,-928.5406781020286
105,-840.522527775461
106,-1199.0446082396172
107,-1171.9561810344483
108,-852.4725264550349
109,-778.476444926785
110,-936.2760072971033
111,-807.8085834765648
112,-852.0334605656822
113,-1098.7302257460478
114,-776.1545727450911
115,-832.4659678991055
116,-779.5344777935027
117,-1164.0858476963895
118,-802.0011747073967
119,-907.4065468917686
120,-814.1961778075818
121,-1145.2813693709882
122,-1101.3774247038646
123,-877.1222739738733
124,-794.044187739963
125,-776.2069032757227
126,-794.2127550624904
127,-1177.2219961046944
128,-766.7629081781544
129,-880.5343680245148
130,-934.9608287667811
131,-980.2337896032067
132,-937.9916716301491
133,-775.2362432553405
134,-1185.8070459469786
135,-884.3526574515803
136,-845.727721712251
137,-879.3285900651387
138,-1155.3183118263642
139,-1166.259829779831
140,-1108.796138491884
141,-913.3877024123576
142,1192.2321293108107
143,-973.2900003174854
144,-1173.0501371706623
145,-1335.6323472207623
146,-932.2020746289664
147,-801.5492303960224
148,-832.575276440016
149,-1037.8236835266475
150,-819.8611413415841
151,-852.4935818529304
152,-979.6438837181548
153,1192.2318118554772
154,-1319.2322392489505
155,-1291.242008923934
156,-901.5012075169968
157,-1116.1920007441215
158,-872.1360762385314
159,-1079.2359362780223
160,-915.7371540725057
161,-878.9093714500441
162,-782.4922347491196
163,-973.841416384874
164,-1103.593430805252
165,-907.290786187418
166,-909.3563943926449
167,-1063.3287193571925
168,-950.9302114452245
169,-833.0494285667249
170,-948.7121861185319
171,-1084.7646674531156
172,-1078.3382847656662
173,-1177.538142882458
174,-1140.5469593869984
175,-830.202562701068
176,-789.1707110840727
177,-1033.5253942943727
178,-1086.2245909865212
179,-936.7343766799809
180,-790.3540869853234
181,-827.9151669490218
182,-1169.839438321692
183,-943.3629760607611
184,-851.8863837127456
185,-982.5914890511381
186,-1079.8814405431792
187,-867.1666198989532
188,-1072.920181870968
189,-933.1529662085084
190,-838.9358825001798
191,-1136.232798740634
192,-1125.884549477321
193,-1088.2644548758733
194,-852.7714331621534
195,-893.180011749528
196,-791.7927742412974
197,-1007.7107679722167
198,-1153.3937771865621
199,-792.5477489851085
200,-786.2280684154956
201,-1081.1693723527037
202,-1123.5490323416427
203,-983.1998920899357
204,-1076.867199170045
205,-870.2663771799831
206,-843.1822215805214
207,-1195.55312174535
208,-1124.3395730464556
209,-1143.4715543540751
210,-938.3792853922026
211,-1067.4732540460147
212,-1166.144738351371
213,-930.6678941035949
214,-1146.8332453706255
215,-1093.0791546802743
216,-1183.7410623463184
217,-949.6699122491323
218,-1126.2932757774788
219,-936.3729031528376
220,-810.0399153919817
221,1192.2302193639355
222,-1351.6919964301392
223,-1077.8478496768657
224,-785.0839036420481
225,-968.5620826319378
226,-981.4739466961715
227,-1081.518629210102
228,-927.2656207164769
229,-812.8852335900972
230,-1277.5705002271427
231,-1002.4999991409145
232,-759.5292553324099
233,-1103.893401000175
234,-1159.4001586856507
235,-801.7678727001281
236,-940.3735589120357
237,-1198.2382468875487
238,-1081.285319511667
239,-844.7518845864024
